date,symbol,dps_local,source_currency,dps_krw
2019-12-27,005490.KQ,4000.0,KRW,4000.0
2019-12-27,005720.KS,80.0,KRW,80.0
2019-12-27,005850.KS,400.0,KRW,400.0
2019-12-27,006060.KS,45.0,KRW,45.0
2019-12-27,006260.KS,1450.0,KRW,1450.0
2019-12-27,006650.KQ,2500.0,KRW,2500.0
2019-12-27,007660.KS,51.243404,KRW,51.243404
2019-12-27,007690.KS,1124.8726,KRW,1124.8726
2019-12-27,008730.KS,500.0,KRW,500.0
2019-12-27,009830.KS,215.73376,KRW,215.73376
2019-12-27,009970.KQ,1000.0,KRW,1000.0
2019-12-27,010620.KQ,350.0,KRW,350.0
2019-12-27,010950.KS,100.0,KRW,100.0
2019-12-27,012330.KS,3000.0,KRW,3000.0
2019-12-27,017960.KS,120.0,KRW,120.0
2019-12-27,023160.KS,100.0,KRW,100.0
2019-12-27,029460.KS,250.0,KRW,250.0
2019-12-27,032640.KQ,400.0,KRW,400.0
2019-12-27,033500.KQ,220.0,KRW,220.0
2019-12-27,035900.KQ,155.0,KRW,155.0
2019-12-27,036570.KQ,5220.0,KRW,5220.0
2019-12-27,036930.KS,70.0,KRW,70.0
2019-12-27,041830.KS,140.0,KRW,140.0
2019-12-27,043650.KS,100.0,KRW,100.0
2019-12-27,047810.KQ,400.0,KRW,400.0
2019-12-27,049720.KQ,250.0,KRW,250.0
2019-12-27,052690.KS,310.0,KRW,310.0
2019-12-27,054210.KQ,100.0,KRW,100.0
2019-12-27,067160.KQ,550.0,KRW,550.0
2019-12-27,075580.KQ,13.333333,KRW,13.333333
2019-12-27,075580.KS,13.333333,KRW,13.333333
2019-12-27,082920.KS,50.0,KRW,50.0
2019-12-27,089600.KQ,660.0,KRW,660.0
2019-12-27,100840.KQ,266.66666,KRW,266.66666
2019-12-27,101160.KS,50.0,KRW,50.0
2019-12-27,101490.KS,50.0,KRW,50.0
2019-12-27,103140.KS,400.0,KRW,400.0
2019-12-27,112610.KS,217.76694,KRW,217.76694
2019-12-27,119610.KQ,277.23404,KRW,277.23404
2019-12-27,119850.KS,50.0,KRW,50.0
2019-12-27,131970.KQ,200.0,KRW,200.0
2019-12-27,148150.KS,83.333336,KRW,83.333336
2019-12-27,166090.KS,200.0,KRW,200.0
2019-12-27,170790.KQ,100.0,KRW,100.0
2019-12-27,189300.KS,92.13815,KRW,92.13815
2019-12-27,192400.KS,600.0,KRW,600.0
2019-12-27,192820.KQ,884.3149,KRW,884.3149
2019-12-27,210980.KQ,779.59937,KRW,779.59937
2019-12-27,2124.T,20.0,JPY,212.0429229736328
2019-12-27,214450.KS,300.0,KRW,300.0
2019-12-27,215000.KS,2050.0,KRW,2050.0
2019-12-27,218410.KQ,200.0,KRW,200.0
2019-12-27,271560.KQ,600.0,KRW,600.0
2019-12-27,280360.KS,1300.0,KRW,1300.0
2019-12-27,285490.KQ,242.0,KRW,242.0
2019-12-27,294870.KQ,437.53564,KRW,437.53564
2019-12-27,298020.KS,2000.0,KRW,2000.0
2019-12-27,306200.KS,2000.0,KRW,2000.0
2019-12-27,316140.KS,700.0,KRW,700.0
2020-02-03,SXT,0.39,USD,465.9992980957031
2020-02-11,LEVI,0.08,USD,94.850400390625
2020-02-13,LLY,0.74,USD,871.69037109375
2020-02-27,950170.KS,35.0,KRW,35.0
2020-02-27,EAF,0.85,USD,1029.655987548828
2020-02-27,GLW,0.22,USD,266.49919677734374
2020-02-28,SBLK,0.05,USD,60.565502929687504
2020-02-28,STNG,0.1,USD,121.13100585937501
2020-03-05,BAC,0.18,USD,213.06240966796875
2020-03-17,WFG,0.143,USD,176.1817255859375
2020-03-19,TSM,0.417,USD,523.480939819336
2020-03-30,005490.KQ,1500.0,KRW,1500.0
2020-03-30,4680.T,3.333333,JPY,37.60367653239727
2020-03-30,4689.T,8.86,JPY,99.95058221817015
2020-03-30,5726.T,5.0,JPY,56.40552043914795
2020-03-30,6857.T,10.25,JPY,115.6313169002533
2020-04-23,LEVI,0.08,USD,98.51040039062501
2020-04-30,LONN.SW,2.75,CHF,3418.4319458007812
2020-05-05,BESI.AS,1.01,EUR,1346.0471704101562
2020-05-07,SXT,0.39,USD,479.12671142578125
2020-05-14,LLY,0.74,USD,907.6470361328124
2020-05-28,EAF,0.1,USD,123.8300048828125
2020-05-28,GLW,0.22,USD,272.4260107421875
2020-05-29,STNG,0.1,USD,123.79799804687501
2020-06-04,002714.SZ,0.231092,CNY,49.923728338134765
2020-06-04,BAC,0.18,USD,218.84759033203125
2020-06-08,GTT.PA,1.75,EUR,2371.179931640625
2020-06-12,002340.SZ,0.03,CNY,6.481019897460937
2020-06-18,TSM,0.42,USD,510.0269897460937
2020-06-26,1211.HK,0.021873,HKD,3.390298979736328
2020-06-29,005490.KQ,500.0,KRW,500.0
