report_id,page,ordinal,publication_date,title,company,ticker,exchange,symbol,pdf_filename,pdf_url,report_current_price,bear_target,base_target,bull_target,target_price_local,target_price,target_currency,price_currency,display_currency,markdown_filename,report_current_price_krw,bear_target_krw,base_target_krw,bull_target_krw,target_price_krw
540068a615c7b9bc,9,12,2023-06-09,"Equity Research, DI동일",DI동일,001530,KRX,001530.KS,2023-06-09_equity-research-di동일.pdf,http://snusmic.com/wp-content/uploads/2023/06/23_1_4주차_수정보고서_3팀_DI동일.pdf,20500.0,,30700.0,,30700.0,30700.0,KRW,KRW,KRW,2023-06-09_equity-research-di동일.md,18848.515625,,30700.0,,30700.0
b09f0eea2abbc111,9,10,2023-06-09,"Equity Research, 롯데웰푸드",롯데웰푸드,280360,KRX,280360.KS,2023-06-09_equity-research-롯데웰푸드.pdf,http://snusmic.com/wp-content/uploads/2023/06/23_1_4주차_수정보고서_5팀_롯데웰푸드.pdf,107000.0,,220500.0,,220500.0,220500.0,KRW,KRW,KRW,2023-06-09_equity-research-롯데웰푸드.md,110500.0,,220500.0,,220500.0
d6a703927916b4e6,10,2,2023-06-09,"Equity Research, 제이시스메디칼",제이시스메디칼,287410,KRX,287410.KS,2023-06-09_equity-research-제이시스메디칼.pdf,http://snusmic.com/wp-content/uploads/2023/06/23_1_4주차_수정보고서_1팀_제이시스메디칼.pdf,9590.0,,15420.0,,15420.0,15420.0,KRW,KRW,KRW,2023-06-09_equity-research-제이시스메디칼.md,10080.0,,15420.0,,15420.0
62647f260b5fbe83,10,1,2023-06-09,"Equity Research, 메쎄이상",메쎄이상,408920,KRX,408920.KQ,2023-06-09_equity-research-메쎄이상.pdf,http://snusmic.com/wp-content/uploads/2023/06/23_1_4주차_수정보고서_2팀_메쎄이상.pdf,2825.0,,4620.0,,4620.0,4620.0,KRW,KRW,KRW,2023-06-09_equity-research-메쎄이상.md,2835.0,,4620.0,,4620.0
c11e1caecaa164e4,9,11,2023-06-09,"Equity Research, 현대그린푸드",현대그린푸드,453340,KRX,453340.KS,2023-06-09_equity-research-현대그린푸드-2.pdf,http://snusmic.com/wp-content/uploads/2023/06/23_1_4주차_수정보고서_4팀_현대그린푸드.pdf,11910.0,,21600.0,,21600.0,21600.0,KRW,KRW,KRW,2023-06-09_equity-research-현대그린푸드-2.md,12650.0,,21600.0,,21600.0
96bbf250d90da8c9,9,5,2023-10-19,"Equity Research, SK하이닉스",SK하이닉스,000660,KRX,000660.KS,2023-10-19_equity-research-sk하이닉스-2.pdf,http://snusmic.com/wp-content/uploads/2023/10/23_2_1주차_수정보고서_5팀_SK하이닉스.pdf,124700.0,,164600.0,,164600.0,164600.0,KRW,KRW,KRW,2023-10-19_equity-research-sk하이닉스-2.md,125700.0,,164600.0,,164600.0
878fb72a5b1ed458,9,7,2023-10-19,"Equity Research, 코세스",코세스,089890,KRX,089890.KS,2023-10-19_equity-research-코세스.pdf,http://snusmic.com/wp-content/uploads/2023/10/23_2_1주차_수정보고서_3팀_코세스.pdf,9.6,,18600.0,,18600.0,18600.0,KRW,KRW,KRW,2023-10-19_equity-research-코세스.md,9210.0,,18600.0,,18600.0
d90a39bc034e7599,9,6,2023-10-19,"Equity Research, 에이디테크놀로지",에이디테크놀로지,200710,KRX,200710.KS,2023-10-19_equity-research-에이디테크놀로지.pdf,http://snusmic.com/wp-content/uploads/2023/10/23_2_1주차_수정보고서_4팀_에이디테크놀로지.pdf,23200.0,,75100.0,,75100.0,75100.0,KRW,KRW,KRW,2023-10-19_equity-research-에이디테크놀로지.md,21550.0,,75100.0,,75100.0
4534f97437dcd4fe,9,8,2023-10-19,"Equity Research, HD현대일렉트릭",HD현대일렉트릭,267260,KRX,267260.KQ,2023-10-19_equity-research-hd현대일렉트릭.pdf,http://snusmic.com/wp-content/uploads/2023/10/23_2_1주차_수정보고서_2팀_HD현대일렉트릭.pdf,71600.0,,140100.0,,140100.0,140100.0,KRW,KRW,KRW,2023-10-19_equity-research-hd현대일렉트릭.md,71000.0,,140100.0,,140100.0
007a977da09217d7,9,9,2023-10-19,"Equity Research, 하이브",하이브,352820,KRX,352820.KS,2023-10-19_equity-research-하이브-2.pdf,http://snusmic.com/wp-content/uploads/2023/10/23_2-1주차-수정보고서_1팀-하이브.pdf,244500.0,,334500.0,,334500.0,334500.0,KRW,KRW,KRW,2023-10-19_equity-research-하이브-2.md,227500.0,,334500.0,,334500.0
f2e95f0ae7b99955,9,1,2023-11-12,"Equity Research, LX인터내셔널",LX인터내셔널,001120,KRX,001120.KS,2023-11-12_equity-research-lx인터내셔널.pdf,http://snusmic.com/wp-content/uploads/2023/11/23_2_2주차_수정보고서_4팀_lx인터내셔널.pdf,52800.0,,26300.0,,26300.0,26300.0,KRW,KRW,KRW,2023-11-12_equity-research-lx인터내셔널.md,29350.0,,26300.0,,26300.0
6575d69b3eb35062,9,4,2023-11-12,"Equity Research, 두산테스나",두산테스나,131970,KRX,131970.KQ,2023-11-12_equity-research-두산테스나.pdf,http://snusmic.com/wp-content/uploads/2023/11/23_2_2주차_수정보고서_1팀_두산테스나.pdf,52500.0,,66500.0,,66500.0,66500.0,KRW,KRW,KRW,2023-11-12_equity-research-두산테스나.md,53900.0,,66500.0,,66500.0
39c9c51937fe60e4,9,3,2023-11-12,"Equity Research, 효성티앤씨",효성티앤씨,298020,KRX,298020.KS,2023-11-12_equity-research-효성티앤씨-2.pdf,http://snusmic.com/wp-content/uploads/2023/11/23_2_2주차_수정보고서_2팀_효성티앤씨.pdf,364500.0,,514000.0,,514000.0,514000.0,KRW,KRW,KRW,2023-11-12_equity-research-효성티앤씨-2.md,370000.0,,514000.0,,514000.0
c2859fc32f5ea2b9,9,2,2023-11-12,"Equity Research, DL이앤씨",DL이앤씨,375500,KRX,375500.KS,2023-11-12_equity-research-dl이앤씨.pdf,http://snusmic.com/wp-content/uploads/2023/11/23_2_2주차_수정보고서_3팀_DL이앤씨.pdf,34800.0,,82600.0,,82600.0,82600.0,KRW,KRW,KRW,2023-11-12_equity-research-dl이앤씨.md,36900.0,,82600.0,,82600.0
6b5c000ff2152ddc,8,12,2023-11-12,"Equity Research, 파두",파두,440110,KRX,440110.KS,2023-11-12_equity-research-파두.pdf,http://snusmic.com/wp-content/uploads/2023/11/23_2_2주차_수정보고서_5팀_파두.pdf,33550.0,12600.0,34600.0,63700.0,34600.0,34600.0,KRW,KRW,KRW,2023-11-12_equity-research-파두.md,19040.0,12600.0,34600.0,63700.0,34600.0
6e2bec64e7c16981,8,7,2023-11-22,"Equity Research, BYD",BYD,1211,HKG,1211.HK,2023-11-22_equity-research-byd.pdf,http://snusmic.com/wp-content/uploads/2023/11/23_2_3주차_수정보고서_5팀_BYD.pdf,238.3,,331.7,,331.7,55109.51847076416,HKD,HKD,KRW,2023-11-22_equity-research-byd.md,13291.412353515625,,55109.51847076416,,55109.51847076416
b495059f8901f2d9,8,11,2023-11-22,"Equity Research, BE Semiconductor Industries N.V.",BE Semiconductor Industries N.V.,BESI,AMS,BESI.AS,2023-11-22_equity-research-be-semiconductor-industries-n-v.pdf,http://snusmic.com/wp-content/uploads/2023/11/23-2-3주차-수정보고서_1팀-BE-Semiconductor-Industries-N.V.pdf,118.4,,166.7,229.2,166.7,215908.16323242185,USD,EUR,KRW,2023-11-22_equity-research-be-semiconductor-industries-n-v.md,168689.67119073495,,215908.16323242185,296857.5345703125,215908.16323242185
658583acf31fec78,8,8,2023-11-22,"Equity Research, Eli Lilly & Co.",Eli Lilly & Co.,LLY,NYSE,LLY,2023-11-22_equity-research-eli-lilly-co.pdf,http://snusmic.com/wp-content/uploads/2023/11/23_2_3주차_수정보고서_4팀_Eli_Lilly__Co.pdf,588.8,,745.2,,745.2,965175.5443359376,USD,USD,KRW,2023-11-22_equity-research-eli-lilly-co.md,770754.6170143783,,965175.5443359376,,965175.5443359376
