account_id,label,kind,final_equity_krw,final_cash_krw,final_holdings_value_krw,money_weighted_return,cagr,max_drawdown,trade_count,open_positions,sharpe,sortino
pit_trend_quarterly_fresh540_vol50_top5,PIT Trend Quarterly Fresh 540 50% Vol Cap,account,493610426.4398,4143560.5782,489466865.8616,0.6094,0.334,0.2409,165.0,5.0,1.048,1.5561
pit_trend_quarterly_fresh540_vol55_top5,PIT Trend Quarterly Fresh 540 55% Vol Cap,account,493610426.4398,4143560.5782,489466865.8616,0.6094,0.334,0.2409,165.0,5.0,1.048,1.5561
pit_trend_quarterly_fresh540_mar_vol45_top5,PIT Trend Quarterly Fresh 540 Mar Cycle 45% Vol Cap,account,464664820.9697,28359221.1664,436305599.8033,0.5847,0.3191,0.2339,170.0,5.0,0.9696,1.406
pit_trend_quarterly_fresh540_entry270_top5,PIT Trend Quarterly Fresh 540 Entry 270,account,492755727.3745,4048377.8264,488707349.548,0.6087,0.3335,0.3101,149.0,5.0,0.9954,1.4836
pit_trend_quarterly_fresh540_entry270_vol50_top5,PIT Trend Quarterly Fresh 540 Entry 270 50% Vol Cap,account,492755727.3745,4048377.8264,488707349.548,0.6087,0.3335,0.3101,149.0,5.0,0.9954,1.4836
pit_trend_quarterly_fresh540_entry270_mar_top5,PIT Trend Quarterly Fresh 540 Entry 270 Mar Cycle,account,259280575.3144,921255.1181,258359320.1964,0.3528,0.1842,0.2717,148.0,5.0,0.6748,0.992
pit_trend_quarterly_fresh540_entry365_top5,PIT Trend Quarterly Fresh 540 Entry 365,account,352827016.6419,4079403.1282,348747613.5137,0.474,0.2536,0.31,154.0,5.0,0.8407,1.2101
pit_trend_quarterly_fresh540_entry450_top5,PIT Trend Quarterly Fresh 540 Entry 450,account,500763799.8989,4004982.2246,496758817.6742,0.6153,0.3375,0.2954,156.0,5.0,1.04,1.5638
pit_trend_quarterly_fresh540_entry365_vol50_top5,PIT Trend Quarterly Fresh 540 Entry 365 50% Vol Cap,account,352827016.6419,4079403.1282,348747613.5137,0.474,0.2536,0.31,154.0,5.0,0.8407,1.2101
pit_trend_quarterly_fresh540_rank15_top5,PIT Trend Quarterly Fresh 540 Rank 15,account,493610426.4398,4143560.5782,489466865.8616,0.6094,0.334,0.2409,165.0,5.0,1.048,1.5561
pit_trend_quarterly_fresh540_rank25_top5,PIT Trend Quarterly Fresh 540 Rank 25,account,493610426.4398,4143560.5782,489466865.8616,0.6094,0.334,0.2409,165.0,5.0,1.048,1.5561
pit_trend_quarterly_fresh540_runwinners_top5,PIT Trend Quarterly Fresh 540 Run Winners,account,581257167.2051,4046657.0744,577210510.1307,0.6769,0.3749,0.2489,143.0,5.0,1.1147,1.6686
pit_trend_quarterly_fresh540_runwinners_vol50_top5,PIT Trend Quarterly Fresh 540 Run Winners 50% Vol Cap,account,581257167.2051,4046657.0744,577210510.1307,0.6769,0.3749,0.2489,143.0,5.0,1.1147,1.6686
pit_trend_quarterly_fresh540_runwinners_top3,PIT Trend Quarterly Fresh 540 Run Winners Top 3,account,407038361.1348,4012495.1316,403025866.0032,0.5311,0.2872,0.2811,95.0,3.0,0.8506,1.3441
pit_trend_quarterly_fresh540_runwinners_top7,PIT Trend Quarterly Fresh 540 Run Winners Top 7,account,445866763.5363,4043484.4035,441823279.1329,0.5679,0.3091,0.2741,186.0,6.0,1.0017,1.4672
pit_trend_quarterly_fresh540_runwinners_feb_top5,PIT Trend Quarterly Fresh 540 Run Winners Feb Cycle,account,340825567.4134,2067247.7001,338758319.7133,0.4602,0.2456,0.2455,146.0,5.0,0.796,1.1385
pit_trend_quarterly_fresh540_runwinners_mar_top5,PIT Trend Quarterly Fresh 540 Run Winners Mar Cycle,account,418069376.446,3679817.0679,414389559.3781,0.5419,0.2936,0.2335,152.0,5.0,0.9032,1.3231
pit_trend_quarterly_fresh540_runwinners_slip25_top5,PIT Trend Quarterly Fresh 540 Run Winners Slip 25,account,561506090.8994,4027105.6139,557478985.2855,0.6625,0.3662,0.2525,143.0,5.0,1.0957,1.6387
pit_trend_quarterly_fresh540_runwinners_slip50_top5,PIT Trend Quarterly Fresh 540 Run Winners Slip 50,account,539781230.865,4040042.1997,535741188.6654,0.6462,0.3562,0.2548,143.0,5.0,1.0751,1.6079
pit_trend_quarterly_fresh540_runwinners_cap40_top5,PIT Trend Quarterly Fresh 540 Run Winners 40% Cap,account,575494145.4751,4045484.4994,571448660.9757,0.6728,0.3724,0.2489,145.0,5.0,1.1123,1.655
pit_trend_quarterly_fresh540_runwinners_cap35_top5,PIT Trend Quarterly Fresh 540 Run Winners 35% Cap,account,568947129.9891,4051719.7552,564895410.2339,0.668,0.3695,0.2489,149.0,5.0,1.1087,1.6465
pit_trend_quarterly_fresh540_runwinners_soft45_top5,PIT Trend Quarterly Fresh 540 Run Winners Soft 45% Cap,account,575494145.4751,4045484.4994,571448660.9757,0.6728,0.3724,0.2489,145.0,5.0,1.1123,1.655
pit_trend_quarterly_fresh540_runwinners_vol50_cap40_top5,PIT Trend Quarterly Fresh 540 Run Winners 50% Vol + 40% Cap,account,575494145.4751,4045484.4994,571448660.9757,0.6728,0.3724,0.2489,145.0,5.0,1.1123,1.655
pit_trend_quarterly_fresh540_runwinners_weeklycap45_top5,PIT Trend Quarterly Fresh 540 Run Winners Weekly 45% Cap,account,563101223.6777,4013112.5989,559088111.0789,0.6637,0.3669,0.2489,145.0,5.0,1.1078,1.6418
pit_trend_quarterly_fresh540_runwinners_dailycap45_top5,PIT Trend Quarterly Fresh 540 Run Winners Daily 45% Cap,account,564258819.1108,4025632.2385,560233186.8722,0.6646,0.3674,0.2489,148.0,5.0,1.1105,1.6443
pit_trend_quarterly_fresh540_runwinners_vol50_weeklycap45_top5,PIT Trend Quarterly Fresh 540 Run Winners 50% Vol + Weekly 45% Cap,account,563101223.6777,4013112.5989,559088111.0789,0.6637,0.3669,0.2489,145.0,5.0,1.1078,1.6418
pit_trend_quarterly_fresh540_runwinners_weeklycap50_top5,PIT Trend Quarterly Fresh 540 Run Winners Weekly 50% Cap,account,564543406.7614,4032019.8892,560511386.8722,0.6648,0.3675,0.2489,145.0,5.0,1.1039,1.6423
pit_trend_quarterly_fresh540_runwinners_weeklycap45_profit10_top5,PIT Trend Quarterly Fresh 540 Run Winners Weekly 45% Cap Profit 10%,account,565132006.8527,4031944.1871,561100062.6656,0.6652,0.3678,0.2489,146.0,5.0,1.106,1.643
