date,account_id,decision,buy_count,sell_count,trade_count,symbols,reasons,cash_krw,holdings_value_krw,equity_krw,contributed_capital_krw,net_profit_krw,open_positions
2021-10-13,benchmark_gld,hold,0,0,0,,,144425.0328,19456918.9377,19601343.9705,19000000.0,601343.9705,1
2021-10-13,benchmark_kodex200,hold,0,0,0,,,33696.7926,17687565.0,17721261.7926,19000000.0,-1278738.2074,1
2021-10-13,benchmark_qqq,hold,0,0,0,,,332861.6464,22405781.0742,22738642.7206,19000000.0,3738642.7206,1
2021-10-13,benchmark_spy,hold,0,0,0,,,493445.2514,22397091.2758,22890536.5271,19000000.0,3890536.5271,1
2021-10-13,smic_follower,hold,0,0,0,,,2582.6063,22206174.8719,22208757.4782,19000000.0,3208757.4782,15
2021-10-13,smic_follower_v2,hold,0,0,0,,,9541.548,20057814.9901,20067356.5381,19000000.0,1067356.5381,12
2021-10-14,all_weather,hold,0,0,0,,,961319.5567,19729119.7953,20690439.352,19000000.0,1690439.352,4
2021-10-14,benchmark_gld,hold,0,0,0,,,144434.9182,19338625.5234,19483060.4416,19000000.0,483060.4416,1
2021-10-14,benchmark_kodex200,hold,0,0,0,,,33699.099,17910180.0,17943879.099,19000000.0,-1056120.901,1
2021-10-14,benchmark_qqq,hold,0,0,0,,,332884.4295,22624340.8962,22957225.3257,19000000.0,3957225.3257,1
2021-10-14,benchmark_spy,hold,0,0,0,,,493479.0258,22580123.7817,23073602.8076,19000000.0,4073602.8076,1
2021-10-14,smic_follower,hold,0,0,0,,,2582.7831,22413474.9333,22416057.7163,19000000.0,3416057.7163,15
2021-10-14,smic_follower_v2,hold,0,0,0,,,9542.2011,20217821.3595,20227363.5606,19000000.0,1227363.5606,12
2021-10-15,all_weather,hold,0,0,0,,,961385.3555,19707832.664,20669218.0194,19000000.0,1669218.0194,4
2021-10-15,benchmark_gld,hold,0,0,0,,,144444.8042,18957830.9196,19102275.7238,19000000.0,102275.7238,1
2021-10-15,benchmark_kodex200,hold,0,0,0,,,33701.4056,18093780.0,18127481.4056,19000000.0,-872518.5944,1
2021-10-15,benchmark_qqq,hold,0,0,0,,,332907.2142,22679022.4382,23011929.6524,19000000.0,4011929.6524,1
