trial_number,train_rank,accepted,admission_status,excess_return_vs_best_benchmark,label,persona_name,min_target_upside_at_pub,max_target_upside_at_pub,target_hit_multiplier,require_mtt,min_price_vs_52w_low,max_pct_below_52w_high,min_ma200_1m_return,max_positions,universe,top_up_cadence,stop_loss_pct,take_profit_pct,report_age_stop_days,source_trial_number,selection_rank,train_money_weighted_return,train_score,train_max_drawdown,train_trade_count,train_open_positions,full_money_weighted_return,full_net_profit_krw,full_final_equity_krw,full_max_drawdown,full_trade_count,full_open_positions
48,333,True,accepted,0.0398,SMIC MTT Strategy,smic_mtt_strategy,0.2,1.25,1.05,True,0.0,0.6,0.0,35,all,monthly,0.2,0.75,180,,,0.0522,-0.0228,0.2144,97,4,0.4638,233207787.2702,335207787.2702,0.3737,190,8
66,334,False,below_benchmark,-0.5009,SMIC MTT Strategy,smic_mtt_strategy,0.45,1.0,1.05,True,0.4,0.5,0.0,40,overseas,monthly,0.05,1.75,1095,,,0.0558,-0.0229,0.2248,13,0,-0.0769,-18162439.3882,83837560.6118,0.3734,49,0
363,335,False,below_benchmark,-0.0021,SMIC MTT Strategy,smic_mtt_strategy,0.15,4.0,1.0,True,0.1,0.15,0.05,20,all,monthly,0.15,2.75,730,,,0.0519,-0.0237,0.2161,51,2,0.4219,199703769.3875,301703769.3875,0.2161,104,3
332,336,False,below_benchmark,-0.3477,SMIC MTT Strategy,smic_mtt_strategy,0.15,4.5,1.1,True,0.1,0.15,0.04,20,all,monthly,0.15,2.75,730,,,0.0563,-0.0246,0.2311,57,3,0.0763,22158640.2862,124158640.2862,0.4377,117,2
341,337,False,below_benchmark,-0.3477,SMIC MTT Strategy,smic_mtt_strategy,0.15,4.25,1.1,True,0.1,0.15,0.04,20,all,monthly,0.15,2.75,730,,,0.0563,-0.0246,0.2311,57,3,0.0763,22158640.2862,124158640.2862,0.4377,117,2
330,338,True,accepted,0.0075,SMIC MTT Strategy,smic_mtt_strategy,0.15,4.5,1.1,True,0.1,0.2,-0.01,20,all,monthly,0.15,2.75,730,,,0.0462,-0.0293,0.2158,90,3,0.4314,207064780.1825,309064780.1825,0.3319,177,2
164,339,False,below_benchmark,-0.0232,SMIC MTT Strategy,smic_mtt_strategy,0.05,5.0,1.1,True,0.0,0.25,-0.04,10,all,monthly,0.15,3.0,365,,,0.0436,-0.0313,0.2139,99,3,0.4008,184081066.7887,286081066.7887,0.3381,180,1
350,340,False,below_benchmark,-0.3313,SMIC MTT Strategy,smic_mtt_strategy,0.2,4.0,1.1,True,0.2,0.15,0.05,20,all,monthly,0.2,2.75,730,,,0.0503,-0.0337,0.2401,49,3,0.0927,27534923.3083,129534923.3083,0.3476,102,3
310,341,False,below_benchmark,-0.3313,SMIC MTT Strategy,smic_mtt_strategy,0.15,4.5,1.1,True,0.0,0.15,0.05,20,all,monthly,0.2,2.75,730,,,0.0503,-0.0337,0.2401,51,3,0.0927,27533347.0024,129533347.0024,0.3476,104,3
106,342,True,accepted,0.1608,SMIC MTT Strategy,smic_mtt_strategy,0.2,3.75,0.85,True,0.2,0.3,0.05,30,all,monthly,0.1,2.5,365,,,0.0442,-0.034,0.2235,54,2,0.5848,349779257.1015,451779257.1015,0.2235,112,1
129,343,False,below_benchmark,-0.2437,SMIC MTT Strategy,smic_mtt_strategy,0.05,4.5,1.1,False,0.1,0.15,0.05,25,all,monthly,0.1,2.75,365,,,0.0623,-0.0344,0.2361,285,8,0.1803,60492132.2149,162492132.2149,0.2361,547,4
56,344,False,below_benchmark,-0.2477,SMIC MTT Strategy,smic_mtt_strategy,0.3,1.0,1.05,True,0.4,0.65,0.0,35,all,monthly,0.1,1.0,1095,,,0.045,-0.0368,0.2336,71,3,0.1763,58837301.3916,160837301.3916,0.4116,133,2
8,345,False,below_benchmark,-0.1809,SMIC MTT Strategy,smic_mtt_strategy,0.05,3.5,0.95,False,0.2,0.7,-0.04,30,domestic,quarterly,0.3,1.0,365,,,0.0541,-0.0383,0.2012,305,16,0.243,89109382.4652,191109382.4652,0.2012,622,13
1,346,True,accepted,0.1464,SMIC MTT Strategy,smic_mtt_strategy,0.15,2.0,1.05,True,0.2,0.55,0.01,5,all,monthly,0.1,0.75,180,,,0.0675,-0.0438,0.3181,87,4,0.5703,334168748.803,436168748.803,0.3181,167,3
75,347,False,below_benchmark,-0.524,SMIC MTT Strategy,smic_mtt_strategy,0.3,1.5,1.05,True,0.8,0.5,0.02,40,overseas,monthly,0.05,1.5,1095,,,0.0214,-0.0573,0.2248,12,0,-0.1,-22924785.1129,79075214.8871,0.3887,41,0
0,348,False,below_benchmark,-0.3916,SMIC MTT Strategy,smic_mtt_strategy,0.3,5.0,0.85,False,0.1,0.15,0.04,25,overseas,deposit_only,0.1,1.25,1095,,,0.0071,-0.0744,0.2327,54,1,0.0324,8862314.9517,110862314.9517,0.2463,148,1
210,349,True,accepted,0.004,SMIC MTT Strategy,smic_mtt_strategy,0.15,4.75,0.9,True,0.0,0.3,0.05,15,all,deposit_only,0.15,3.0,365,,,0.0122,-0.0774,0.256,61,2,0.428,204396931.526,306396931.526,0.256,131,4
371,350,False,below_benchmark,-0.0119,SMIC MTT Strategy,smic_mtt_strategy,0.15,4.25,0.9,True,0.1,0.2,0.05,20,all,monthly,0.15,2.75,730,,,0.0122,-0.0774,0.256,61,2,0.412,192334145.6205,294334145.6205,0.256,129,4
15,351,False,below_benchmark,-0.3381,SMIC MTT Strategy,smic_mtt_strategy,0.4,3.0,0.95,True,0.7,0.35,-0.01,30,all,quarterly,0.2,1.5,730,,,0.0315,-0.0839,0.3297,50,2,0.0859,25261833.8871,127261833.8871,0.3999,113,4
46,352,False,below_benchmark,-0.2238,SMIC MTT Strategy,smic_mtt_strategy,0.15,1.0,1.1,True,0.3,0.75,0.01,35,domestic,monthly,0.2,1.0,180,,,-0.0294,-0.0873,0.1653,67,3,0.2002,69087741.8198,171087741.8198,0.2765,108,2
36,353,False,below_benchmark,-0.2392,SMIC MTT Strategy,smic_mtt_strategy,0.25,1.25,1.05,False,0.1,0.9,0.04,35,overseas,quarterly,0.1,0.5,180,,,-0.0109,-0.0896,0.2248,65,3,0.1848,62413157.4154,164413157.4154,0.2248,155,2
77,354,False,below_benchmark,-0.2745,SMIC MTT Strategy,smic_mtt_strategy,0.3,1.75,1.05,False,0.6,0.45,0.01,40,domestic,monthly,0.1,1.75,1095,,,-0.0162,-0.0929,0.2191,178,8,0.1495,48046459.6663,150046459.6663,0.2191,380,2
4,355,False,below_benchmark,-0.2503,SMIC MTT Strategy,smic_mtt_strategy,0.25,2.25,1.1,False,0.5,0.2,0.02,35,domestic,deposit_only,0.05,0.5,1095,,,-0.0278,-0.0946,0.1909,188,3,0.1737,57740871.976,159740871.976,0.1953,327,1
99,356,False,below_benchmark,-0.1876,SMIC MTT Strategy,smic_mtt_strategy,0.2,3.75,1.1,True,0.2,0.3,0.05,30,all,monthly,0.05,2.5,365,,,-0.0241,-0.0964,0.2066,52,2,0.2364,85855197.7104,187855197.7104,0.3319,112,0
120,357,False,below_benchmark,-0.5513,SMIC MTT Strategy,smic_mtt_strategy,0.1,4.5,1.1,True,0.1,0.2,0.05,20,all,monthly,0.05,3.0,365,,,-0.0242,-0.0965,0.2066,54,2,-0.1273,-28168751.5057,73831248.4943,0.3889,109,0
5,358,False,below_benchmark,-0.2709,SMIC MTT Strategy,smic_mtt_strategy,0.2,2.5,0.8,False,0.3,0.25,0.05,35,domestic,monthly,0.25,2.75,1095,,,-0.0257,-0.1053,0.1784,293,13,0.1531,49446614.2776,151446614.2776,0.1784,538,11
298,359,False,below_benchmark,-0.0118,SMIC MTT Strategy,smic_mtt_strategy,0.15,5.0,0.8,True,0.0,0.25,0.05,15,all,monthly,0.15,3.0,365,,,-0.0101,-0.1119,0.2909,59,1,0.4122,192449213.301,294449213.301,0.2909,115,1
149,360,False,below_benchmark,-0.0128,SMIC MTT Strategy,smic_mtt_strategy,0.05,4.5,0.8,True,0.0,0.25,0.05,15,all,deposit_only,0.15,2.75,730,,,-0.0117,-0.1136,0.2913,60,1,0.4112,191704019.8409,293704019.8409,0.2913,118,1
3,361,False,below_benchmark,-0.292,SMIC MTT Strategy,smic_mtt_strategy,0.3,2.0,1.05,False,0.0,1.0,0.03,10,domestic,monthly,0.15,0.75,180,,,-0.0499,-0.1165,0.18,259,10,0.132,41398239.1038,143398239.1038,0.2296,469,3
301,362,False,below_benchmark,-0.0277,SMIC MTT Strategy,smic_mtt_strategy,0.05,4.75,1.1,True,0.0,0.25,-0.02,20,all,monthly,0.15,3.0,180,,,-0.0451,-0.1179,0.208,96,4,0.3963,180860590.9787,282860590.9787,0.3332,184,4
79,363,False,below_benchmark,-0.3373,SMIC MTT Strategy,smic_mtt_strategy,0.2,2.25,0.95,True,0.5,0.55,0.02,35,overseas,monthly,0.05,1.5,1095,,,-0.0315,-0.1259,0.1268,15,0,0.0867,25540339.2388,127540339.2388,0.3096,62,0
237,364,True,accepted,0.0709,SMIC MTT Strategy,smic_mtt_strategy,0.15,4.5,0.85,True,0.0,0.3,0.05,15,all,deposit_only,0.15,3.0,365,,,-0.0449,-0.145,0.2859,55,2,0.4949,260190088.6321,362190088.6321,0.2859,113,1
57,365,False,below_benchmark,-0.3557,SMIC MTT Strategy,smic_mtt_strategy,0.1,1.0,1.05,True,0.4,0.55,0.03,35,domestic,monthly,0.05,1.25,1095,,,-0.0822,-0.1456,0.1811,47,1,0.0683,19610673.6389,121610673.6389,0.2488,77,0
