account_id,symbol,company,qty,avg_cost_krw,last_close_krw,market_value_krw,unrealized_pnl_krw,unrealized_return,holding_days,first_buy_date
pit_trend_quarterly_fresh540_vol50_top5,LITE,Lumentum Holdings Inc,77,557766.1792,1344995.9815,103564690.5763,60616694.7779,1.4114,150,2026-01-02
pit_trend_quarterly_fresh540_vol50_top5,218410.KQ,RFHIC,940,35072.7851,87600.0,82344000.0,49375581.979,1.4977,150,2026-01-02
pit_trend_quarterly_fresh540_vol50_top5,475960.KQ,토모큐브,1532,57737.5093,42150.0,64573800.0,-23880064.2897,-0.27,61,2026-04-01
pit_trend_quarterly_fresh540_vol55_top5,356860.KQ,티엘비,1226,72146.8704,106300.0,130323800.0,41871736.8804,0.4734,61,2026-04-01
pit_trend_quarterly_fresh540_vol55_top5,GLW,Corning,410,135241.5636,265025.7934,108660575.2853,53211534.2296,0.9596,150,2026-01-02
pit_trend_quarterly_fresh540_vol55_top5,LITE,Lumentum Holdings Inc,77,557766.1792,1344995.9815,103564690.5763,60616694.7779,1.4114,150,2026-01-02
pit_trend_quarterly_fresh540_vol55_top5,218410.KQ,RFHIC,940,35072.7851,87600.0,82344000.0,49375581.979,1.4977,150,2026-01-02
pit_trend_quarterly_fresh540_vol55_top5,475960.KQ,토모큐브,1532,57737.5093,42150.0,64573800.0,-23880064.2897,-0.27,61,2026-04-01
pit_trend_quarterly_ret36_top5,356860.KQ,티엘비,634,72146.8704,106300.0,67394200.0,21653084.1616,0.4734,61,2026-04-01
pit_trend_quarterly_ret36_top5,042660.KS,한화오션,361,85400.634,124900.0,45088900.0,14259271.1275,0.4625,426,2025-04-01
pit_trend_quarterly_ret36_top5,218410.KQ,RFHIC,486,35072.7851,87600.0,42573600.0,25528226.4274,1.4977,150,2026-01-02
pit_trend_quarterly_ret36_top5,950160.KQ,코오롱티슈진,422,71546.4804,93700.0,39541400.0,9348785.287,0.3096,150,2026-01-02
pit_trend_quarterly_ret36_top5,475960.KQ,토모큐브,786,57737.5093,42150.0,33129900.0,-12251782.3314,-0.27,61,2026-04-01
pit_trend_quarterly_ret3_top5,356860.KQ,티엘비,695,72146.8704,106300.0,73878500.0,23736425.0668,0.4734,61,2026-04-01
pit_trend_quarterly_ret3_top5,042660.KS,한화오션,395,85137.86,124900.0,49335500.0,15706045.2883,0.467,426,2025-04-01
pit_trend_quarterly_ret3_top5,218410.KQ,RFHIC,533,35072.7851,87600.0,46690800.0,27997005.5264,1.4977,150,2026-01-02
pit_trend_quarterly_ret3_top5,950160.KQ,코오롱티슈진,463,71546.4804,93700.0,43383100.0,10257079.5922,0.3096,150,2026-01-02
pit_trend_quarterly_ret3_top5,475960.KQ,토모큐브,864,57737.5093,42150.0,36417600.0,-13467608.059,-0.27,61,2026-04-01
pit_trend_quarterly_ret6_top5,356860.KQ,티엘비,470,58756.2782,106300.0,49961000.0,22345549.2604,0.8092,243,2025-10-01
pit_trend_quarterly_ret6_top5,278470.KS,에이피알,99,233151.4675,426500.0,42223500.0,19141504.72,0.8293,150,2026-01-02
pit_trend_quarterly_ret6_top5,042660.KS,한화오션,266,75505.2672,124900.0,33223400.0,13138998.9236,0.6542,426,2025-04-01
pit_trend_quarterly_ret6_top5,218410.KQ,RFHIC,358,94261.2371,87600.0,31360800.0,-2384722.8693,-0.0707,61,2026-04-01
pit_trend_quarterly_ret6_top5,475960.KQ,토모큐브,582,57737.5093,42150.0,24531300.0,-9071930.4286,-0.27,61,2026-04-01
pit_trend_rotate_fast_top5,356860.KQ,티엘비,284,81452.9161,106300.0,30189200.0,7056571.8262,0.305,47,2026-04-15
pit_trend_rotate_fast_top5,187790.KS,나노,4702,6595.6779,6410.0,30139820.0,-873057.599,-0.0282,12,2026-05-20
pit_trend_rotate_fast_top5,108490.KQ,로보티즈,74,402761.6552,402500.0,29785000.0,-19362.4839,-0.0006,0,2026-06-01
pit_trend_rotate_fast_top5,012330.KS,현대모비스,39,761494.7071,761000.0,29679000.0,-19293.5759,-0.0006,0,2026-06-01
pit_trend_rotate_fast_top5,000150.KS,두산,13,2204432.1152,2203000.0,28639000.0,-18617.4979,-0.0006,0,2026-06-01
pit_trend_rotate_stop_top5,356860.KQ,티엘비,289,79895.8298,106300.0,30720700.0,7630805.1955,0.3305,48,2026-04-14
pit_trend_rotate_stop_top5,187790.KS,나노,4789,6595.7153,6410.0,30697490.0,-889390.5015,-0.0282,12,2026-05-20
pit_trend_rotate_stop_top5,108490.KQ,로보티즈,76,402761.6552,402500.0,30590000.0,-19885.7943,-0.0006,0,2026-06-01
pit_trend_rotate_stop_top5,012330.KS,현대모비스,40,761494.7071,761000.0,30440000.0,-19788.283,-0.0006,0,2026-06-01
pit_trend_rotate_stop_top5,000150.KS,두산,13,2204432.1152,2203000.0,28639000.0,-18617.4979,-0.0006,0,2026-06-01
pit_trend_rotate_top5,000150.KS,두산,17,1973281.9479,2203000.0,37451000.0,3905206.8857,0.1164,3,2026-05-29
pit_trend_rotate_top5,108490.KQ,로보티즈,93,325711.5994,402500.0,37432500.0,7141321.2546,0.2358,3,2026-05-29
pit_trend_rotate_top5,187790.KS,나노,5831,6498.619,6410.0,37376710.0,-516737.5797,-0.0136,5,2026-05-27
pit_trend_rotate_top5,356860.KQ,티엘비,351,91845.9928,106300.0,37311300.0,5073356.5337,0.1574,31,2026-05-01
pit_trend_rotate_top5,012330.KS,현대모비스,49,692919.5448,761000.0,37289000.0,3335942.3052,0.0983,5,2026-05-27
pit_trend_stop_top5,356860.KQ,티엘비,425,72146.8704,106300.0,45177500.0,14515080.0768,0.4734,61,2026-04-01
pit_trend_stop_top5,187790.KS,나노,7043,6414.167,6410.0,45145630.0,-29348.0454,-0.0006,0,2026-06-01
