매수일,매수가(시가),매수사유,종목명,티커,시장,비중(%),커버학회수,트리거학회,리포트날짜들,목표가들,매도일,매도가,보유일수,수익률(%),매도사유
2021-05-17,69700.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: voera 2021-05-14, ewha 2020-08-22)",씨에스윈드,112610,KR,5.0,6,ewha|voera,2020-08-22|2021-05-14,107000.0|90900.0,2021-05-27,79075.0,10,12.77,rr_half_+2.5R
2021-05-17,345500.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: voera 2021-05-14, smic 2020-06-09)",NAVER,035420,KR,5.0,3,smic|voera,2020-06-09|2021-05-14,300766.0|525000.0,2021-05-26,364562.5,9,4.89,rr_half_+2.5R
2021-03-15,50000.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: ewha 2021-03-13)",서흥,008490,KR,5.0,1,ewha,2021-03-13,69525.0,2021-05-25,55200.0,71,119.48,rr_stop
2021-05-07,25000.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: smic 2021-05-06)",바이넥스,053030,KR,5.0,1,smic,2021-05-06,43750.0,2021-05-25,22100.0,18,-12.13,rr_stop
2021-05-07,108700.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: smic 2021-05-06)",데브시스터즈,194480,KR,5.0,2,smic,2021-05-06,198000.0,2021-05-18,98500.0,11,-9.93,rr_stop
2021-04-16,49600.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: smic 2021-04-15)",현대제철,004020,KR,5.0,1,smic,2021-04-15,93800.0,2021-05-17,56500.0,31,126.46,rr_stop
2021-03-15,80500.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: ewha 2021-03-13)",KT&G,033780,KR,5.0,1,ewha,2021-03-13,110136.0,2021-05-14,82300.0,60,103.25,rr_stop
2021-05-07,24600.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: smic 2021-05-06)",솔루엠,248070,KR,5.0,1,smic,2021-05-06,36900.0,2021-05-14,25350.0,7,2.43,rr_stop
2021-02-22,51500.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: ewha 2021-02-20)",HD현대미포,010620,KR,5.0,4,ewha,2021-02-20,69100.0,2021-05-07,91900.0,74,254.76,rr_stop
2021-04-16,63369.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: smic 2021-04-15)",국도화학,007690,KR,5.0,1,smic,2021-04-15,146000.0,2021-05-06,64843.0,20,103.43,rr_stop
2021-03-15,55393.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: ewha 2021-03-13, smic 2021-01-16)",한화솔루션,009830,KR,5.0,3,ewha|smic,2021-01-16|2021-03-13,59700.0,2021-05-04,55892.0,50,100.59,rr_stop
2021-04-16,7630.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: smic 2021-04-15)",쌍용C&E,003410,KR,5.0,1,smic,2021-04-15,10000.0,2021-05-04,7400.0,18,92.81,rr_stop
2021-04-12,211000.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: ewha 2021-04-10)",LG이노텍,011070,KR,5.0,1,ewha,2021-04-10,271000.0,2021-04-30,207000.0,18,-2.48,rr_stop
2021-04-12,11518.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: ewha 2021-04-10)",테크윙,089030,KR,5.0,2,ewha,2021-04-10,32100.0,2021-04-29,13113.0,17,126.33,rr_stop
2021-04-16,15250.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: smic 2021-04-15)",대림제지,017650,KR,5.0,1,smic,2021-04-15,21500.0,2021-04-29,14600.0,13,-4.84,rr_stop
2021-04-16,49600.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: smic 2021-04-15)",현대제철,004020,KR,5.0,1,smic,2021-04-15,93800.0,2021-04-27,54081.25,11,8.38,rr_half_+2.5R
2021-04-16,7630.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: smic 2021-04-15)",쌍용C&E,003410,KR,5.0,1,smic,2021-04-15,10000.0,2021-04-26,8124.2308,10,5.84,rr_half_+2.5R
2021-04-16,63369.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: smic 2021-04-15)",국도화학,007690,KR,5.0,1,smic,2021-04-15,146000.0,2021-04-23,69032.75,7,8.29,rr_half_+2.5R
2021-04-12,11518.0,"학회 매수리포트 발간 → 익일 시가 진입, R:R 세팅 (스탑 1×ATR20, 목표 +2.5R) (트리거: ewha 2021-04-10)",테크윙,089030,KR,5.0,2,ewha,2021-04-10,32100.0,2021-04-15,12435.125,3,7.32,rr_half_+2.5R
