매수일,매수가(시가),종목명,티커,시장,비중(%),커버학회수,트리거학회,리포트날짜들,목표가들,매도일,매도가,보유일수,수익률(%),매도사유
2020-05-18,315500.0,CJ제일제당,097950,KR,5.0,2,voera,2020-05-17,395000.0,2022-02-03,350000.0,626,10.27,52w_hi_exit
2021-09-16,153800.0,SOOP,067160,KR,5.0,3,voera,2021-09-15,185200.0,2022-02-03,154600.0,140,-0.08,52w_hi_exit
2021-04-12,51000.0,현대제철,004020,KR,5.0,1,smic,2021-04-10,93800.0,2021-12-01,37200.0,233,-27.5,52w_hi_exit
2021-09-02,32000.0,삼양패키징,272550,KR,5.0,2,smic|star,2019-10-12|2021-09-01,23687.0,2021-12-01,21850.0,90,-32.13,52w_hi_exit
2021-04-12,14750.0,인선이엔티,060150,KR,5.0,2,ewha|smic,2020-11-21|2021-04-10,21750.0,2021-12-01,10050.0,233,-32.27,52w_hi_exit
2020-10-12,357400.0,오스템임플란트,048260,KR,5.0,2,ewha,2020-10-10,,2021-12-01,953920.0,415,165.31,52w_hi_exit
2021-04-12,11518.0,테크윙,089030,KR,5.0,2,ewha,2021-04-10,32100.0,2021-12-01,9772.0,233,-15.67,52w_hi_exit
2021-04-12,57172.0,국도화학,007690,KR,5.0,1,smic,2021-04-10,146000.0,2021-12-01,51300.0,233,-10.81,52w_hi_exit
2020-11-23,14082.0,한온시스템,018880,KR,5.0,2,ewha|smic,2019-11-30|2020-11-21,15700.0|17200.0,2021-12-01,12548.0,373,-11.43,52w_hi_exit
2021-04-12,13800.0,대림제지,017650,KR,5.0,1,smic,2021-04-10,21500.0,2021-10-01,11050.0,172,-20.41,52w_hi_exit
2021-02-22,60400.0,엠씨넥스,097520,KR,5.0,2,ewha,2021-02-20,70000.0,2021-09-01,43400.0,191,-28.58,52w_hi_exit
2020-11-30,59678.0,한화솔루션,009830,KR,5.0,3,smic,2020-11-28,60700.0,2021-08-02,48593.0,245,-19.06,52w_hi_exit
2020-11-30,250500.0,대한유화,006650,KR,5.0,2,smic,2020-11-28,394500.0,2021-06-01,266500.0,183,5.75,52w_hi_exit
2020-01-02,6813.0,비츠로셀,082920,KR,5.0,3,smic,2019-11-02,16829.0,2021-05-03,7317.0,487,6.75,52w_hi_exit
