매수일,매수가(시가),매수사유,종목명,티커,시장,비중(%),커버학회수,트리거학회,리포트날짜들,목표가들,매도일,매도가,보유일수,수익률(%),매도사유
2023-10-05,205000.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: star 2023-10-04, smic 2021-12-13)",세아제강지주,003030,KR,5.0,2,smic|star,2021-12-13|2023-10-04,154000.0|283700.0,2024-07-01,192000.0,270,86.19,runner_thesis_break_200MA
2023-12-05,85300.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: star 2023-12-04, yig 2023-11-02)",케이아이엔엑스,093320,KR,5.0,2,star|yig,2023-12-04|2023-11-02,128000.0|148000.0,2024-06-03,80500.0,181,87.61,runner_thesis_break_200MA
2022-10-14,6331.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: smic 2022-10-13),바이오플러스,099430,KR,5.0,1,smic,2022-10-13,9149.05,2024-06-03,4375.0,598,-31.31,runner_thesis_break_200MA
2024-05-08,107100.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: star 2024-05-07),세방전지,004490,KR,5.0,1,star,2024-05-07,106000.0,2024-05-08,106000.0,0,-1.62,목표가_절반익절
2023-11-03,18300.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: yig 2023-11-02),브이티,018290,KR,5.0,3,yig,2023-11-02,22551.0,2024-04-23,22250.0,172,20.86,목표가_절반익절
2023-10-05,5000.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: star 2023-10-04),삼영,003720,KR,5.0,3,star,2023-10-04,7820.0,2024-01-02,4475.0,89,77.93,runner_thesis_break_200MA
2023-02-09,100000.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: ewha 2023-02-08),에스엠,041510,KR,5.0,2,ewha,2023-02-08,135600.0,2023-12-01,86800.0,295,-13.72,runner_thesis_break_200MA
2023-07-03,22750.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: star 2023-07-02),넥슨게임즈,225570,KR,5.0,1,star,2023-07-02,32100.0,2023-12-01,15800.0,151,38.07,runner_thesis_break_200MA
2023-04-06,23566.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: voera 2023-04-05, ewha 2023-02-11, smic 2022-04-16)",인터로조,119610,KR,5.0,3,ewha|smic|voera,2022-04-16|2023-02-11|2023-04-05,45500.0|40400.0|42550.0,2023-11-01,22228.0,209,87.51,runner_thesis_break_200MA
2023-05-12,18330.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: smic 2023-05-11),태광,023160,KR,5.0,2,smic,2023-05-11,28840.0,2023-10-04,17860.0,145,93.7,runner_thesis_break_200MA
2023-05-04,47700.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: voera 2023-05-03, star 2023-04-22)",티앤엘,340570,KR,5.0,4,star|voera,2023-04-22|2023-05-03,63300.0|105000.0,2023-10-04,42350.0,153,76.5,runner_thesis_break_200MA
2023-03-13,49480.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: ewha 2023-03-11),유한양행,000100,KR,5.0,1,ewha,2023-03-11,79300.0,2023-09-12,74939.0,183,50.55,목표가_절반익절
2022-11-25,79200.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: kuvic 2022-11-24, star 2022-08-16, yig 2022-05-18, voera 2021-05-14, ewha 2020-08-22)",씨에스윈드,112610,KR,5.0,6,ewha|kuvic|star|voera|yig,2020-08-22|2021-05-14|2022-05-18|2022-08-16|2022-11-24,107000.0|90900.0|79200.0|66210.0|113000.0,2023-09-01,63900.0,280,60.4,runner_thesis_break_200MA
2023-03-02,269000.0,"학회 매수리포트 발간 → 익일 시가 진입 (트리거: star 2023-03-01, ewha 2022-11-25)",엘앤에프,066970,KR,5.0,3,ewha|star,2022-11-25|2023-03-01,261600.0|457300.0,2023-09-01,213500.0,183,57.79,runner_thesis_break_200MA
2020-10-12,16621.0,학회 매수리포트 발간 → 익일 시가 진입 (트리거: ewha 2020-10-10),동화기업,025900,KR,5.0,1,ewha,2020-10-10,58100.0,2023-07-03,16041.0,994,91.86,runner_thesis_break_200MA
