매수일,매수가(시가),종목명,티커,시장,비중(%),커버학회수,트리거학회,리포트날짜들,목표가들,매도일,매도가,보유일수,수익률(%),매도사유
2023-09-22,7750.0,우신시스템,017370,KR,5.0,1,star,2023-09-21,15800.0,2024-04-11,8110.0,202,3.97,u_chandelier_ATR5.5
2023-10-13,9850.0,코세스,089890,KR,5.0,1,smic,2023-10-12,18600.0,2024-04-09,14680.0,179,48.07,u_chandelier_ATR5.5
2024-02-29,6800.0,한국컴퓨터,054040,KR,5.0,1,kuvic,2024-02-28,15140.0,2024-04-08,6140.0,39,-10.29,u_chandelier_ATR5.5
2024-02-13,37250.0,코스메카코리아,241710,KR,5.0,3,star,2024-02-12,62800.0,2024-03-26,32550.0,42,-13.18,u_chandelier_ATR5.5
2024-01-25,36700.0,DL이앤씨,375500,KR,5.0,2,kuvic|smic,2023-11-03|2024-01-24,82600.0|51483.0,2024-03-07,35350.0,42,-4.3,u_chandelier_ATR5.5
2023-11-03,90000.0,케이아이엔엑스,093320,KR,5.0,2,star|yig,2023-08-06|2023-11-02,99300.0|148000.0,2024-02-29,92100.0,118,1.67,u_chandelier_ATR5.5
2024-01-22,57200.0,해성디에스,195870,KR,5.0,2,ewha|star,2024-01-19|2021-09-16,67300.0,2024-02-22,48500.0,31,-15.76,u_chandelier_ATR5.5
2024-01-08,30800.0,선익시스템,171090,KR,5.0,2,star,2024-01-06,54700.0,2024-02-08,23250.0,31,-25.0,u_chandelier_ATR5.5
2023-11-03,25050.0,아이센스,099190,KR,5.0,3,star|yig,2023-06-12|2023-11-02,28120.0|40400.0,2024-02-06,22300.0,95,-11.56,u_chandelier_ATR5.5
2023-10-05,205000.0,세아제강지주,003030,KR,5.0,2,smic|star,2021-12-04|2023-10-04,154000.0|283700.0,2024-01-25,197800.0,112,-4.14,u_chandelier_ATR5.5
2023-10-13,9850.0,코세스,089890,KR,5.0,1,smic,2023-10-12,18600.0,2024-01-25,20350.0,104,105.26,u_scaleout1_ext14.6x
2022-10-07,15300.0,클래시스,214150,KR,5.0,2,ewha,2022-10-06,47700.0,2024-01-15,35600.0,465,131.17,u_chandelier_ATR5.5
2023-11-03,18300.0,브이티,018290,KR,5.0,3,yig,2023-11-02,22551.0,2024-01-02,16550.0,60,-10.15,u_chandelier_ATR5.5
2023-10-12,171800.0,효성중공업,298040,KR,5.0,3,kuvic|star,2022-01-04|2023-10-11,103150.0|269000.0,2023-12-27,162000.0,76,-6.32,u_chandelier_ATR5.5
2023-08-28,12420.0,화신,010690,KR,5.0,3,ewha|star|voera,2023-03-15|2023-07-24|2023-08-26,17620.0|42900.0|16710.0,2023-10-23,10410.0,56,-16.73,u_chandelier_ATR5.5
2023-03-13,49480.0,유한양행,000100,KR,5.0,1,ewha,2023-03-11,79300.0,2023-10-19,58189.0,220,16.84,u_chandelier_ATR5.5
2023-08-28,33500.0,에스엘,005850,KR,5.0,3,ewha|smic|star,2023-08-26|2021-05-29|2023-03-16,49600.0|50000.0|39000.0,2023-10-18,30150.0,51,-10.58,u_chandelier_ATR5.5
2023-08-28,67000.0,피엔티,137400,KR,5.0,3,ewha|smic,2020-05-09|2023-08-25,14572.0|94800.0,2023-10-11,61500.0,44,-8.8,u_chandelier_ATR5.5
2023-08-04,45450.0,씨앤씨인터내셔널,352480,KR,5.0,2,ewha|star,2023-05-24|2023-08-03,59400.0|63480.0,2023-10-11,52600.0,68,14.98,u_chandelier_ATR5.5
2023-05-08,18120.0,태광,023160,KR,5.0,2,smic,2023-05-05,28840.0,2023-09-27,17580.0,142,-3.61,u_chandelier_ATR5.5
2023-08-07,67200.0,엔켐,348370,KR,5.0,2,smic|star,2021-12-04|2023-08-04,174900.0|114000.0,2023-09-22,55500.0,46,-17.95,u_chandelier_ATR5.5
2023-08-08,29500.0,디오,039840,KR,5.0,1,star,2023-08-07,49000.0,2023-09-15,25700.0,38,-13.45,u_chandelier_ATR5.5
2023-03-13,8284.0,이수페타시스,007660,KR,5.0,3,ewha|smic,2022-11-05|2023-03-11,7600.0|15600.0,2023-09-14,27959.0,185,235.32,u_chandelier_ATR5.5
2023-03-16,26855.0,코윈테크,282880,KR,5.0,2,smic|star,2019-10-12|2023-03-15,41100.0|40200.0,2023-08-25,30003.0,162,11.0,u_chandelier_ATR5.5
2023-05-04,48800.0,에스앤에스텍,101490,KR,5.0,3,star,2023-05-03,88000.0,2023-08-23,47650.0,111,-2.99,u_chandelier_ATR5.5
2022-12-22,169500.0,하이브,352820,KR,5.0,6,smic|star|voera,2021-11-06|2022-05-28|2022-12-21,628000.0|381500.0|223000.0,2023-08-17,240500.0,238,40.97,u_chandelier_ATR5.5
2023-03-16,11370.0,화신,010690,KR,5.0,3,star,2023-03-15,17620.0,2023-08-08,15900.0,145,38.93,u_chandelier_ATR5.5
2023-04-27,6760.0,NI스틸,008260,KR,5.0,1,star,2023-04-26,12500.0,2023-08-03,6300.0,98,-7.41,u_chandelier_ATR5.5
2023-06-13,260500.0,메디톡스,086900,KR,5.0,1,star,2023-06-12,377000.0,2023-08-03,201000.0,51,-23.34,u_chandelier_ATR5.5
2023-03-13,8284.0,이수페타시스,007660,KR,5.0,3,ewha|smic,2022-11-05|2023-03-11,7600.0|15600.0,2023-07-03,30537.0,112,266.23,u_scaleout2_ext12.2x
2022-11-01,37419.0,비나텍,126340,KR,5.0,3,ewha|star,2021-05-22|2022-10-31,51800.0|65400.0,2023-06-08,54861.0,219,45.66,u_chandelier_ATR5.5
2023-03-13,8284.0,이수페타시스,007660,KR,5.0,3,ewha|smic,2022-11-05|2023-03-11,7600.0|15600.0,2023-05-30,13936.0,78,67.14,u_scaleout1_ext8.8x
2023-03-17,18660.0,송원산업,004430,KR,5.0,1,star,2023-03-16,23530.0,2023-05-08,16910.0,52,-9.97,u_chandelier_ATR5.5
2023-03-06,83000.0,S-Oil,010950,KR,5.0,4,smic|voera,2022-11-05|2023-03-03,122500.0,2023-04-28,73000.0,53,-12.62,u_chandelier_ATR5.5
2022-10-28,29650.0,레인보우로보틱스,277810,KR,5.0,1,star,2022-10-27,48100.0,2023-04-26,100400.0,180,236.42,u_chandelier_ATR5.5
2022-12-22,169500.0,하이브,352820,KR,5.0,6,smic|star|voera,2021-11-06|2022-05-28|2022-12-21,628000.0|381500.0|223000.0,2023-04-14,259000.0,113,51.81,u_scaleout1_ext8.2x
2022-11-04,33200.0,슈피겐코리아,192440,KR,5.0,1,star,2022-11-03,72740.0,2023-03-16,32250.0,132,-3.49,u_chandelier_ATR5.5
2022-09-29,5750.0,아난티,025980,KR,5.0,2,voera,2022-09-28,10630.0,2023-03-15,6700.0,167,15.77,u_chandelier_ATR5.5
2022-11-01,15450.0,하이비젼시스템,126700,KR,5.0,3,star,2022-10-31,31420.0,2023-03-14,17800.0,133,14.46,u_chandelier_ATR5.5
2023-01-06,12900.0,한양디지텍,078350,KR,5.0,2,star,2023-01-05,24100.0,2023-03-13,11170.0,66,-13.97,u_chandelier_ATR5.5
2023-01-03,137000.0,휴젤,145020,KR,5.0,4,voera,2023-01-02,387000.0,2023-02-28,128500.0,56,-6.81,u_chandelier_ATR5.5
2022-09-21,10000.0,바디텍메드,206640,KR,5.0,2,star,2022-09-20,33370.0,2023-02-16,11260.0,148,11.87,u_chandelier_ATR5.5
2022-10-28,29650.0,레인보우로보틱스,277810,KR,5.0,1,star,2022-10-27,48100.0,2023-01-25,87200.0,89,192.19,u_scaleout2_ext16.1x
2022-07-22,47800.0,씨에스윈드,112610,KR,5.0,6,ewha|star|voera|yig,2020-08-22|2021-05-14|2022-05-18|2022-07-21,107000.0|90900.0|79200.0|66210.0,2023-01-05,65000.0,167,35.1,u_chandelier_ATR5.5
2022-10-28,29650.0,레인보우로보틱스,277810,KR,5.0,1,star,2022-10-27,48100.0,2023-01-04,46900.0,68,57.15,u_scaleout1_ext8.9x
2022-11-02,6359.0,넥스트칩,396270,KR,5.0,1,star,2022-11-01,20450.0,2023-01-03,5463.0,62,-14.65,u_chandelier_ATR5.5
2022-11-04,25900.0,삼성E&A,028050,KR,5.0,2,star,2022-11-03,35250.0,2022-12-16,22400.0,42,-14.07,u_chandelier_ATR5.5
2022-08-04,21600.0,제이브이엠,054950,KR,5.0,3,star,2022-08-03,26320.0,2022-10-14,17450.0,71,-19.74,u_chandelier_ATR5.5
2022-09-08,23400.0,TKG휴켐스,069260,KR,5.0,1,ewha,2022-09-07,28188.0,2022-10-04,19050.0,26,-19.12,u_chandelier_ATR5.5
2022-08-17,22050.0,명신산업,009900,KR,5.0,1,star,2022-08-16,26760.0,2022-09-29,18650.0,43,-15.97,u_chandelier_ATR5.5
2022-08-04,40750.0,경동나비엔,009450,KR,5.0,3,star,2022-08-03,80300.0,2022-09-28,37100.0,55,-9.55,u_chandelier_ATR5.5
2021-12-06,110500.0,세아제강지주,003030,KR,5.0,2,smic,2021-12-04,154000.0,2022-09-27,136500.0,295,22.73,u_chandelier_ATR5.5
2022-07-21,5476.0,로젠,033290,KR,5.0,1,star,2022-07-20,8370.0,2022-09-27,4811.0,68,-12.71,u_chandelier_ATR5.5
2022-06-23,10420.0,LS ELECTRIC,010120,KR,5.0,2,star,2022-06-22,13740.0,2022-09-27,9210.0,96,-12.19,u_chandelier_ATR5.5
2022-07-06,26600.0,대덕전자,353200,KR,5.0,2,star,2022-07-05,50300.0,2022-09-26,22750.0,82,-15.03,u_chandelier_ATR5.5
2022-08-01,84900.0,HD한국조선해양,009540,KR,5.0,1,voera,2022-07-29,120000.0,2022-09-19,84200.0,49,-1.47,u_chandelier_ATR5.5
2022-07-20,1211245.0,삼성바이오로직스,207940,KR,5.0,2,star|voera,2021-08-17|2022-07-19,1307000.0,2022-09-06,1199471.0,48,-1.61,u_chandelier_ATR5.5
2022-03-14,160000.0,롯데칠성,005300,KR,5.0,1,ewha,2022-03-12,242000.0,2022-08-05,165500.0,144,2.77,u_chandelier_ATR5.5
2022-04-28,95800.0,에스티팜,237690,KR,5.0,4,smic|star,2021-12-04|2022-04-27,185000.0|132700.0,2022-06-20,89000.0,53,-7.7,u_chandelier_ATR5.5
2022-05-09,3735.0,벽산,007210,KR,5.0,1,smic,2022-05-07,5300.0,2022-06-17,2890.0,39,-23.13,u_chandelier_ATR5.5
2022-04-28,14050.0,남해화학,025860,KR,5.0,1,star,2022-04-27,28100.0,2022-06-16,10850.0,49,-23.28,u_chandelier_ATR5.5
2022-02-14,11300.0,파트론,091700,KR,5.0,2,ewha,2022-02-12,17100.0,2022-06-15,10050.0,121,-11.64,u_chandelier_ATR5.5
2022-03-17,8400.0,덕산하이메탈,077360,KR,5.0,1,star,2022-03-16,21800.0,2022-06-15,7980.0,90,-5.62,u_chandelier_ATR5.5
2022-03-14,37050.0,두산밥캣,241560,KR,5.0,2,ewha,2022-03-12,51300.0,2022-06-09,36550.0,87,-1.99,u_chandelier_ATR5.5
2022-04-11,156500.0,삼성전기,009150,KR,5.0,3,ewha|star,2021-05-01|2022-04-09,267000.0,2022-06-08,148000.0,58,-6.04,u_chandelier_ATR5.5
2022-03-14,49550.0,심텍,222800,KR,5.0,2,ewha,2022-03-12,66900.0,2022-06-07,45050.0,85,-9.67,u_chandelier_ATR5.5
2022-02-14,51400.0,쿠콘,294570,KR,5.0,2,ewha|smic,2021-12-04|2022-02-12,104100.0|82900.0,2022-05-06,45300.0,81,-12.44,u_chandelier_ATR5.5
2021-10-18,11150.0,주성엔지니어링,036930,KR,5.0,4,smic,2021-10-16,26700.0,2022-04-28,22250.0,192,98.26,u_chandelier_ATR5.5
2022-02-14,140000.0,SOOP,067160,KR,5.0,3,ewha|voera,2021-09-15|2022-02-12,185200.0|173000.0,2022-04-26,131000.0,71,-7.04,u_chandelier_ATR5.5
2022-02-14,283500.0,효성화학,298000,KR,5.0,1,ewha,2022-02-12,408000.0,2022-04-07,247500.0,52,-13.26,u_chandelier_ATR5.5
2021-03-11,30100.0,해성디에스,195870,KR,5.0,2,ewha,2021-03-10,53700.0,2022-03-16,46600.0,370,53.81,u_chandelier_ATR5.5
2021-11-18,26400.0,ISC,095340,KR,5.0,2,star,2021-11-17,51000.0,2022-03-10,28950.0,112,8.95,u_chandelier_ATR5.5
2021-11-08,5910.0,NPC,004250,KR,5.0,1,smic,2021-11-06,9290.0,2022-02-09,8440.0,93,41.88,u_chandelier_ATR5.5
2021-11-11,8660.0,아세아제지,002310,KR,5.0,1,star,2021-11-10,12680.0,2022-01-28,9450.0,78,8.41,u_chandelier_ATR5.5
2021-08-23,83000.0,스튜디오드래곤,253450,KR,5.0,3,ewha|voera,2020-09-04|2021-08-21,116000.0,2022-01-12,86700.0,142,3.78,u_chandelier_ATR5.5
2021-11-29,121500.0,대주전자재료,078600,KR,5.0,2,ewha,2021-11-27,142000.0,2022-01-07,96600.0,39,-21.01,u_chandelier_ATR5.5
2021-12-01,77.45,INMD,INMD,US,5.0,1,smic,2021-11-30,172.11,2022-01-06,56.46,36,-27.57,u_chandelier_ATR5.5
2021-11-08,92000.0,카카오게임즈,293490,KR,5.0,1,smic,2021-11-06,151300.0,2022-01-06,82500.0,59,-10.91,u_chandelier_ATR5.5
2021-08-23,64700.0,롯데정밀화학,004000,KR,5.0,1,ewha,2021-08-21,105575.0,2021-11-30,79800.0,99,22.54,u_chandelier_ATR5.5
2021-10-01,9000.0,코엔텍,029960,KR,5.0,2,ewha,2021-09-30,,2021-11-30,8570.0,60,-5.4,u_chandelier_ATR5.5
