매수일,매수가(시가),종목명,티커,시장,비중(%),커버학회수,트리거학회,리포트날짜들,목표가들,매도일,매도가,보유일수,수익률(%),매도사유
2024-11-13,40382.4172,씨에스윈드,112610,KR,5.0,6,ewha|kuvic|smic|star|voera|yig,2023-05-27|2021-05-14|2024-11-05|2023-12-28|2024-10-08|2024-10-11,103200.0|90900.0|73853.78|100500.0|96684.0|134400.0,2025-03-07,35250.0,114,-13.23,p_chandelier_ATR5.5
2024-08-06,8110.0,파이오링크,170790,KR,5.0,2,ewha|smic,2020-11-28|2024-05-31,20400.0|15210.0,2025-02-11,7830.0,189,-4.03,p_chandelier_ATR5.5
2023-06-05,107300.0,휴젤,145020,KR,5.0,4,star|voera,2023-01-02|2023-01-04,387000.0|188300.0,2025-01-21,247500.0,596,129.28,p_chandelier_ATR5.5
2024-10-25,34200.0,데브시스터즈,194480,KR,5.0,2,smic|star,2024-05-03|2024-06-06,87700.0|80500.0,2024-12-23,28450.0,59,-17.31,p_chandelier_ATR5.5
2024-10-23,19403.5019,한화솔루션,009830,KR,5.0,3,ewha|kuvic|smic,2020-11-28|2021-03-13|2024-06-27,60700.0|59700.0|49500.0,2024-11-25,16610.0,33,-14.91,p_chandelier_ATR5.5
2024-09-05,23950.0,프로텍,053610,KR,5.0,2,ewha|yig,2020-08-22|2024-03-15,31700.0|95600.0,2024-11-22,24400.0,78,1.27,p_chandelier_ATR5.5
2024-11-07,32105.0057,비나텍,126340,KR,5.0,3,ewha|star,2024-06-01|2022-10-31,80200.0|65400.0,2024-11-15,27826.0,8,-13.85,p_chandelier_ATR5.5
2024-10-15,10031.3824,파라다이스,034230,KR,5.0,2,star|voera,2023-01-18|2024-05-17,27700.0|25300.0,2024-11-14,9170.0,30,-9.13,p_chandelier_ATR5.5
2024-07-29,46739.0499,ISC,095340,KR,5.0,2,star|voera,2024-06-30|2023-05-22,114800.0|55000.0,2024-11-13,48600.0,107,3.36,p_chandelier_ATR5.5
2024-04-17,49858.9012,씨에스윈드,112610,KR,5.0,6,ewha|kuvic|star|voera|yig,2023-05-27|2021-05-14|2022-05-18|2023-12-28|2022-11-24,103200.0|90900.0|79200.0|100500.0|113000.0,2024-11-07,53500.0,204,6.66,p_chandelier_ATR5.5
2024-07-26,35937.5762,비나텍,126340,KR,5.0,3,ewha|star,2024-06-01|2022-10-31,80200.0|65400.0,2024-10-28,33345.0,94,-7.77,p_chandelier_ATR5.5
2024-07-25,32373.5475,덕산네오룩스,213420,KR,5.0,4,ewha|star|yig,2024-04-05|2023-05-04|2024-06-02,53200.0|65700.0|58500.0,2024-10-25,27500.0,92,-15.56,p_chandelier_ATR5.5
2024-07-17,91800.0,CJ대한통운,000120,KR,5.0,2,kuvic|voera,2024-02-28|2024-05-17,179500.0,2024-10-23,86400.0,98,-6.45,p_chandelier_ATR5.5
2024-08-06,40299.192,데브시스터즈,194480,KR,5.0,2,smic|star,2024-05-03|2024-06-06,87700.0|80500.0,2024-10-15,36850.0,70,-9.11,p_chandelier_ATR5.5
2024-07-03,3200.0,글로벌텍스프리,204620,KR,5.0,3,smic|star|yig,2023-04-07|2023-08-10|2024-05-27,3800.0|8370.0|9110.0,2024-09-05,2882.0,64,-10.48,p_chandelier_ATR5.5
2024-07-19,25400.0,프로텍,053610,KR,5.0,2,ewha|yig,2020-08-22|2024-03-15,31700.0|95600.0,2024-08-06,21750.0,18,-14.88,p_chandelier_ATR5.5
2023-10-11,4684.163,세진중공업,075580,KR,5.0,3,smic|star,2020-06-06|2023-04-26,7790.0,2024-08-06,7510.0,300,59.37,p_chandelier_ATR5.5
2024-01-15,356500.0,HS효성첨단소재,298050,KR,5.0,2,ewha|star,2022-09-15|2023-07-19,616000.0,2024-07-29,330500.0,196,-7.85,p_chandelier_ATR5.5
2024-07-03,45050.0,해성디에스,195870,KR,5.0,2,ewha|star,2024-01-19|2021-09-16,67300.0,2024-07-26,39400.0,23,-13.07,p_chandelier_ATR5.5
2024-04-08,59800.0,인텔리안테크,189300,KR,5.0,5,ewha|kuvic|smic|voera,2023-10-07|2021-12-04|2023-09-20|2023-11-17,113710.0|122000.0|293000.0|96600.0,2024-07-26,55400.0,109,-7.91,p_chandelier_ATR5.5
2024-06-12,3712.6472,스튜디오미르,408900,KR,5.0,1,star,2024-01-11,8610.4,2024-07-25,3000.0,43,-19.68,p_chandelier_ATR5.5
2024-04-04,14260.0,에치에프알,230240,KR,5.0,2,kuvic|smic,2020-04-18|2023-11-21,45900.0|77000.0,2024-07-19,13620.0,106,-5.06,p_chandelier_ATR5.5
2024-06-12,30460.1292,프로텍,053610,KR,5.0,2,ewha|yig,2020-08-22|2024-03-15,31700.0|95600.0,2024-07-17,26350.0,35,-14.01,p_chandelier_ATR5.5
2024-01-09,45950.0,두산밥캣,241560,KR,5.0,2,ewha|star,2022-03-12|2023-07-22,51300.0|96100.0,2024-07-03,50600.0,176,9.46,p_chandelier_ATR5.5
2024-02-23,43100.0,피엔티,137400,KR,5.0,3,ewha|kuvic|smic,2020-05-09|2023-08-25|2023-09-20,14572.0|94800.0|95500.0,2024-07-03,66000.0,131,52.21,p_chandelier_ATR5.5
2024-02-01,44850.0,두산테스나,131970,KR,5.0,3,kuvic|smic|yig,2023-11-03|2023-09-15|2023-11-20,66500.0|71300.0|101000.0,2024-06-12,41800.0,132,-7.36,p_chandelier_ATR5.5
2024-04-12,17150.0,비에이치,090460,KR,5.0,3,ewha|smic|star,2023-11-29|2023-06-24|2023-07-21,31000.0|39000.0|38900.0,2024-06-12,24200.0,61,40.26,p_chandelier_ATR5.5
2024-01-16,218500.0,LG이노텍,011070,KR,5.0,1,ewha,2023-07-22,431000.0,2024-04-17,188700.0,92,-14.16,p_chandelier_ATR5.5
