매수일,매수가(시가),종목명,티커,비중(%),커버학회수,트리거학회,리포트날짜들,목표가들(원),매도일,매도가,보유일수,수익률(%),매도사유
2021-12-06,127300.0,에스티팜,237690,5.0,4,smic,2021-12-04,185000,2022-12-06,77400.0,365,-39.56,12개월_만기
2021-11-29,121500.0,대주전자재료,078600,5.0,2,ewha,2021-11-27,142000,2022-11-28,90800.0,364,-25.72,12개월_만기
2021-11-25,75700.0,현대백화점,069960,5.0,2,ewha|voera,2021-09-17|2021-11-24,119100|110500,2022-11-25,60100.0,365,-21.08,12개월_만기
2021-11-18,26400.0,ISC,095340,5.0,2,star,2021-11-17,51000,2022-11-18,35000.0,365,31.78,12개월_만기
2021-11-08,383500.0,하이브,352820,5.0,5,smic,2021-11-06,628000,2022-11-08,125500.0,365,-67.47,12개월_만기
2021-08-23,81055.0,OCI홀딩스,010060,5.0,2,ewha,2021-08-21,113156,2022-08-23,96948.0,365,18.89,12개월_만기
2021-08-23,254000.0,현대모비스,012330,5.0,2,ewha,2021-08-21,356000,2022-08-23,209000.0,365,-18.21,12개월_만기
2021-08-23,428000.0,NAVER,035420,5.0,3,ewha|smic|voera,2020-05-23|2021-05-14|2021-08-21,300766|525000|550000,2022-08-23,243500.0,365,-43.45,12개월_만기
2021-08-23,71900.0,코오롱인더,120110,5.0,2,ewha,2021-08-21,90876,2022-08-23,51400.0,365,-28.94,12개월_만기
2021-08-23,83000.0,스튜디오드래곤,253450,5.0,3,ewha|voera,2020-09-04|2021-08-21,116000,2022-08-23,75000.0,365,-10.18,12개월_만기
2021-08-18,1479245.0,삼성바이오로직스,207940,5.0,2,voera,2021-08-17,,2022-08-18,1284832.0,365,-13.66,12개월_만기
2021-05-31,31450.0,에스엘,005850,5.0,3,ewha|smic,2021-04-10|2021-05-29,50000,2022-05-30,30150.0,364,-4.71,12개월_만기
2021-05-31,713000.0,효성티앤씨,298020,5.0,3,smic,2021-05-29,975000,2022-05-30,400000.0,364,-44.24,12개월_만기
2021-05-24,31030.0,비나텍,126340,5.0,3,ewha,2021-05-22,51800,2022-05-24,35264.0,365,12.96,12개월_만기
2021-05-17,69700.0,씨에스윈드,112610,5.0,6,ewha|voera,2020-08-22|2021-05-14,107000|90900,2022-05-17,48400.0,365,-30.98,12개월_만기
2021-05-03,177500.0,삼성전기,009150,5.0,3,star,2021-05-01,267000,2022-05-03,168500.0,365,-5.64,12개월_만기
2021-05-03,110500.0,데브시스터즈,194480,5.0,2,smic,2021-05-01,198000,2022-05-03,59100.0,365,-46.84,12개월_만기
2021-02-15,42032.0,현대건설,000720,5.0,2,ewha,2021-02-10,56200,2022-02-15,41150.0,365,-2.68,12개월_만기
2020-11-30,250500.0,대한유화,006650,5.0,2,smic,2020-11-28,394500,2021-11-29,164500.0,364,-34.72,12개월_만기
2020-11-30,59678.0,한화솔루션,009830,5.0,3,smic,2020-11-28,60700,2021-11-29,40546.0,364,-32.47,12개월_만기
2020-11-30,25000.0,하나머티리얼즈,166090,5.0,2,smic,2020-11-28,40400,2021-11-29,57400.0,364,128.22,12개월_만기
2020-11-23,27050.0,티앤엘,340570,5.0,4,star,2020-11-20,63300,2021-11-23,43150.0,365,58.56,12개월_만기
2020-11-23,9810.0,인선이엔티,060150,5.0,2,ewha,2020-11-21,,2021-11-23,11700.0,365,18.55,12개월_만기
2020-11-13,22300.0,에코마케팅,230360,5.0,2,smic|voera,2019-10-13|2020-11-12,52500|35000,2021-11-15,17950.0,367,-19.99,12개월_만기
2020-11-02,10050.0,진성티이씨,036890,5.0,4,ewha|smic,2020-10-10|2020-10-31,14375|20350,2021-11-02,12100.0,365,19.68,12개월_만기
2020-06-08,34014.0,두산테스나,131970,5.0,3,smic,2020-06-06,83099,2021-06-08,46300.0,365,35.3,12개월_만기
2020-05-25,234500.0,NAVER,035420,5.0,3,smic,2020-05-23,300766,2021-05-25,355500.0,365,50.69,12개월_만기
2020-05-18,315500.0,CJ제일제당,097950,5.0,2,voera,2020-05-17,395000,2021-05-18,457500.0,365,44.14,12개월_만기
2020-05-15,240500.0,신세계,004170,5.0,2,voera,2020-05-14,278000,2021-05-17,310000.0,367,28.13,12개월_만기
2020-05-15,13115.0,제주항공,089590,5.0,2,voera,2020-05-14,20000,2021-05-17,20883.0,367,58.28,12개월_만기
2020-05-11,47560.0,SKC,011790,5.0,2,smic,2020-05-09,70292,2021-05-11,132531.0,365,176.99,12개월_만기
2020-05-11,81700.0,이오테크닉스,039030,5.0,2,smic,2020-05-09,107593,2021-05-11,114100.0,365,38.82,12개월_만기
2020-05-11,10150.0,피엔티,137400,5.0,3,smic,2020-05-09,14572,2021-05-11,23050.0,365,125.73,12개월_만기
2020-04-20,36050.0,파크시스템스,140860,5.0,4,smic,2020-04-18,55993,2021-04-20,144700.0,365,298.98,12개월_만기
2020-04-20,12878.0,노바렉스,194700,5.0,2,smic,2020-04-18,35545,2021-04-20,22069.0,365,70.34,12개월_만기
2020-04-20,36474.0,에치에프알,230240,5.0,2,smic,2020-04-18,45900,2021-04-20,22150.0,365,-39.64,12개월_만기
2020-04-20,14550.0,펌텍코리아,251970,5.0,3,smic,2020-04-18,20224,2021-04-20,19850.0,365,35.61,12개월_만기
2019-12-02,9992.0,한온시스템,018880,5.0,2,smic,2019-11-30,15700,2020-12-02,15337.0,366,52.57,12개월_만기
2019-11-18,3199.0,세진중공업,075580,5.0,3,smic,2019-11-16,,2020-11-18,7290.0,366,126.52,12개월_만기
2019-11-04,31900.0,한국타이어앤테크놀로지,161390,5.0,3,yig,2019-11-01,71500,2020-11-04,31550.0,366,-1.69,12개월_만기
2019-11-04,6813.0,비츠로셀,082920,5.0,3,smic,2019-11-02,16829,2020-11-04,8629.0,366,25.9,12개월_만기
2019-10-25,24200.0,비에이치,090460,5.0,3,smic,2019-10-24,45300,2020-10-26,22050.0,367,-9.43,12개월_만기
2019-10-14,16150.0,삼양패키징,272550,5.0,2,smic,2019-10-12,23687,2020-10-14,20400.0,366,25.56,12개월_만기
2019-10-14,22312.0,코윈테크,282880,5.0,2,smic,2019-10-12,41100,2020-10-14,18572.0,366,-17.26,12개월_만기
2019-10-14,16450.0,에코마케팅,230360,5.0,2,smic,2019-10-13,52500,2020-10-14,27550.0,366,66.47,12개월_만기
