source_file,school,report_type,era,report_date,filename_date,market,company,ticker,exchange,rating,rating_class,display_name,target_price,target_price_raw,report_current_price,report_current_price_raw,stated_upside_pct,first_trade_date,start_close,latest_trade_date,latest_close,return_latest_pct,direction_latest,return_30d_pct,return_90d_pct,return_180d_pct,return_365d_pct,return_ytd_pct,benchmark_return_pct,alpha_latest_pct,max_high_until_latest,max_high_return_pct,target_hit_until_latest,first_target_hit_date,days_to_target,age_days,maturity,data_issue,parse_issue,qa_flags,source_md_url,source_pdf_url
"data\markdown\smic\2013-09-18_Equity Research, 포휴먼.md",smic,company,archive,2007-11-09,2013-09-18,KR,포휴먼,049690,KRX,Buy,buy,포휴먼,47934.5,"27,496~68,373원",37565.0,,27.6042,2007-11-09,37565.0,2011-04-22,11.0,-99.970717,down,-15.65553,-40.636231,-55.543724,-78.038067,0.0,10.417138,-110.387855,44174.0,17.593505,False,,,6788,veteran,,,,,
"data\markdown\smic\2013-09-18_Equity Research, 제이브이엠.md",smic,company,archive,2007-11-09,2013-09-18,KR,제이브이엠,054950,KRX,Buy,buy,제이브이엠,58500.0,"58,500",,,,2014-03-18,30123.0,2026-06-10,21800.0,-27.63005,down,,,,,-15.667311,298.452745,-326.082795,39850.0,32.29094,False,,,6788,veteran,,,,,
"data\markdown\smic\2013-09-18_Equity Research, 팅크웨어.md",smic,company,archive,2007-11-09,2013-09-18,KR,팅크웨어,084730,KRX,Buy,buy,팅크웨어,58525.0,"58,525",,,,2014-03-18,8960.0,2026-06-10,7150.0,-20.200893,down,,,,,-7.979408,298.452745,-318.653638,22800.0,154.464286,False,,,6788,veteran,,,,,
"data\markdown\smic\2013-09-18_Equity Research, 삼화왕관.md",smic,company,archive,2007-11-15,2013-09-18,KR,삼화왕관,004450,KRX,Buy,buy,삼화왕관,42109.0,"42,109",,,,2014-03-18,29950.0,2026-06-10,24700.0,-17.529215,down,,,,,-15.699659,298.452745,-315.98196,73800.0,146.410684,True,2015-03-26,2688,6782,veteran,,,,,
"data\markdown\smic\2013-09-18_Equity Research, 프롬써어티.md",smic,company,archive,2007-11-16,2013-09-18,KR,프롬써어티,073570,KRX,Buy,buy,프롬써어티,12669.0,"8,373~16,965",,,,2014-03-18,87963.0,2026-06-10,2050.0,-97.669475,down,,,,,-52.808471,298.452745,-396.122219,170797.0,94.169139,True,2014-03-18,2314,6781,veteran,,,,,
"data\markdown\smic\2013-09-18_Equity Research, 아모레퍼시픽.md",smic,company,archive,2007-11-17,2013-09-18,KR,Amore Pacific,090430,KRX,Buy,buy,Amore Pacific,,,,,,2014-03-18,121231.0,2026-06-10,111800.0,-7.779363,down,,,,,-6.443515,298.452745,-306.232108,455500.0,275.72898,,,,6780,veteran,,missing_target_price,,,
data\markdown\smic\2013-09-18_smic-4812.md,smic,company,archive,2007-11-23,2013-09-18,KR,하나투어,039130,KRX,Buy,buy,하나투어,93151.0,"93,151",,,,2014-03-18,71505.0,2026-06-10,34250.0,-52.101252,down,,,,,-29.74359,298.452745,-350.553996,200252.0,180.053143,True,2015-02-04,2630,6774,veteran,,,,,
"data\markdown\smic\2013-09-18_Equity Research, 지역난방공사.md",smic,company,archive,2007-12-17,2013-09-18,KR,지역난방공사,071320,KRX,Buy,buy,지역난방공사,84196.0,"84,196원",59100.0,"59,100원",42.5,2014-03-18,66700.0,2026-06-10,68600.0,2.848576,up,,,,,-28.838174,298.452745,-295.604169,116700.0,74.962519,True,2015-06-24,2746,6750,veteran,,,,,
"data\markdown\smic\2013-09-18_Equity Research, 씨모텍.md",smic,company,archive,2008-04-01,2013-09-18,KR,씨모텍,081090,KRX,Strong Buy,buy,씨모텍,61511.0,"61,511원",20499.0,,200.0683,2008-04-01,20499.0,2011-09-22,17.0,-99.917069,down,19.766818,-49.612176,-68.413093,-67.754525,0.0,5.77471,-105.691779,25305.0,23.445046,False,,,6644,veteran,,,,,
"data\markdown\smic\2013-09-18_Equity Research, 풀무원.md",smic,company,archive,2008-04-04,2013-09-18,KR,풀무원,017810,KRX,Buy,buy,풀무원,56562.0,"56,562",,,,2014-03-18,10600.0,2026-06-10,9460.0,-10.754717,down,,,,,-26.893354,298.452745,-309.207462,26900.0,153.773585,False,,,6641,veteran,,,,,
"data\markdown\smic\2013-09-18_Equity Research, 올리브나인.md",smic,company,archive,2008-04-04,2013-09-18,KR,올리브나인,052970,KRX,Buy,buy,올리브나인,,,21241.0,,,2008-04-04,21241.0,2010-10-19,15.0,-99.929382,down,-7.466692,-28.572101,-31.490984,-66.559955,0.0,5.141835,-105.071217,23171.0,9.086201,,,,6641,veteran,,missing_target_price,target_price_suspect,,
"data\markdown\smic\2013-09-18_Equity Research, 토필드.md",smic,company,archive,2008-04-04,2013-09-18,KR,토필드,057880,KRX,Buy,buy,토필드,21100.0,"21,100",,,,2013-11-01,9213.0,2026-01-21,6.0,-99.934875,down,,,,,-99.931741,140.751292,-240.686167,46074.0,400.097688,True,2016-06-13,2992,6641,veteran,,,,,
"data\markdown\smic\2013-09-18_Equity Research, 포스렉.md",smic,company,archive,2008-04-05,2013-09-18,KR,포스렉,003670,KRX,Buy,buy,포스렉,48100.0,"48,100",1111.0,1111,,2014-03-18,11571.0,2026-06-10,187600.0,1521.294616,up,,,,,0.320856,298.452745,1222.841871,672704.0,5713.70668,True,2018-08-02,3771,6640,veteran,,,,,
"data\markdown\smic\2013-09-18_Equity Research, 코텍.md",smic,company,archive,2008-04-11,2013-09-18,KR,코텍,052330,KRX,Buy,buy,코텍,11426.0,"11,426",,,,2014-03-18,13032.0,2026-06-10,11250.0,-13.674033,down,,,,,24.722838,298.452745,-312.126778,19550.0,50.015347,True,2014-03-18,2167,6634,veteran,,,,,
"data\markdown\smic\2013-09-18_Equity Research, 디씨엠.md",smic,company,archive,2008-04-19,2013-09-18,KR,디씨엠,024090,KRX,Buy,buy,디씨엠,12173.0,₩12173,,,,2014-03-18,12100.0,2026-06-10,11110.0,-8.181818,down,,,,,-11.12,298.452745,-306.634563,33150.0,173.966942,True,2014-03-19,2160,6626,veteran,,,,,
"data\markdown\smic\2013-09-18_Equity Research, 웅진코웨이.md",smic,company,archive,2008-04-23,2013-09-18,KR,웅진코웨이,021240,KRX,Hold,soft_buy,웅진코웨이,28867.0,"25,438~32,296",,,,2014-03-18,72200.0,2026-06-10,92000.0,27.423823,up,,,,,5.868815,298.452745,-271.028922,114700.0,58.864266,True,2014-03-18,2155,6622,veteran,,,,,
"data\markdown\smic\2013-09-18_Equity Research, 우리파이낸셜.md",smic,company,archive,2008-05-02,2013-09-18,KR,우리파이낸셜,021960,KRX,Hold,soft_buy,우리파이낸셜,12050.0,"12,050",12050.0,,0.0,2008-05-02,12050.0,2017-07-20,30150.0,150.207469,up,-4.564315,-21.991701,-63.983402,-56.182573,0.0,32.114897,118.092572,31450.0,160.995851,True,2008-05-06,4,6613,veteran,,,,,
"data\markdown\smic\2013-09-18_Equity Research, 오스템임플란트.md",smic,company,archive,2008-05-02,2013-09-18,KR,오스템임플란트,048260,KRX,Buy,buy,오스템임플란트,36474.0,"36,474",,,,2011-06-15,81480.0,2023-08-11,1900000.0,2231.860579,up,,,,,0.0,24.189923,2207.670656,1902000.0,2234.315169,True,2011-06-15,1139,6613,veteran,,,,,
"data\markdown\smic\2013-09-18_Equity Research, 국보디자인.md",smic,company,archive,2008-05-03,2013-09-18,KR,국보디자인,066620,KRX,Buy,buy,국보디자인,5032.0,"₩5,032",,,,2014-03-18,13450.0,2026-06-10,23000.0,71.003717,up,,,,,-1.709402,298.452745,-227.449027,31400.0,133.457249,True,2014-03-18,2145,6612,veteran,,,,,
"data\markdown\smic\2013-09-18_Equity Research, 금호산업.md",smic,company,archive,2008-05-09,2013-09-18,KR,금호산업,002990,KRX,Sell,sell,금호산업,24653.0,"24,653",,,,2014-03-18,12650.0,2026-06-10,3710.0,-70.671937,down,,,,,-7.017544,298.452745,-369.124682,33700.0,166.403162,True,2014-11-18,2384,6606,veteran,,,,,
"data\markdown\smic\2013-09-18_Equity Research, 무학.md",smic,company,archive,2008-05-09,2013-09-18,KR,무학,033920,KRX,Buy,buy,무학,7646.0,"7,646",,,,2014-03-18,21525.0,2026-06-10,7760.0,-63.948897,down,,,,,-17.883598,298.452745,-362.401641,65184.0,202.829268,True,2014-03-18,2139,6606,veteran,,,,,
"data\markdown\smic\2013-09-18_Equity Research, 아모텍.md",smic,company,archive,2008-05-09,2013-09-18,KR,아모텍,052710,KRX,Hold,soft_buy,아모텍,10039.0,"10,039",,,,2014-03-18,8547.0,2026-06-10,24300.0,184.310284,up,,,,,147.454175,298.452745,-114.14246,35950.0,320.615421,True,2014-03-26,2147,6606,veteran,,,,,
"data\markdown\smic\2013-09-18_Equity Research, 세원셀론텍.md",smic,company,archive,2008-05-09,2013-09-18,KR,세원셀론텍,091090,KRX,Buy,buy,세원셀론텍,10826.0,"10,826",,,,2013-08-01,7950.0,2025-10-24,121.0,-98.477987,down,,,,,0.0,105.212054,-203.690041,19425.0,144.339623,True,2015-05-14,2561,6606,veteran,,,,,
