source_file,school,report_date,filename_date,market,company,ticker,exchange,rating,target_price,target_price_raw,report_current_price,report_current_price_raw,stated_upside_pct,parse_issue
data\markdown\star\2024-09-11_STAR_롯데에너지머티리얼즈.md,star,2023-07-05,2024-09-11,KR,롯데에너지머티리얼즈,020150,KOSPI,Buy,77500.0,"77,500",52900.0,"52,900",,
data\markdown\star\2024-09-11_STAR_리가켐바이오.md,star,2023-07-03,2024-09-11,KR,리가켐바이오,141080,KOSDAQ,Buy,126800.0,"126,800",72400.0,"72,400",,
data\markdown\star\2024-09-11_STAR_뷰노.md,star,2024-08-16,2024-09-11,KR,뷰노,338220,KOSDAQ,Buy,49510.0,"49,510",30750.0,"30,750",,
data\markdown\star\2024-09-11_STAR_브랜드엑스코퍼레이션.md,star,2024-08-18,2024-09-11,KR,브랜드엑스코퍼레이션,337930,KOSDAQ,Buy,16010.0,"16,010",10290.0,"10,290",,
data\markdown\star\2024-09-11_STAR_비올.md,star,2024-08-01,2024-09-11,KR,비올,335890,KOSDAQ,Buy,14300.0,"14,300",10190.0,"10,190",,
data\markdown\star\2024-09-11_STAR_삼성전기.md,star,2024-08-16,2024-09-11,KR,삼성전기,009150,KOSPI,Buy,207500.0,"207,500",142200.0,"142,200",,
data\markdown\star\2024-09-11_STAR_서진시스템.md,star,2023-08-14,2024-09-11,KR,서진시스템,178320,KOSDAQ,Buy,46150.0,"46,150",27450.0,"27,450",,
data\markdown\star\2024-09-11_STAR_에스티팜.md,star,2024-07-20,2024-09-11,KR,에스티팜,237690,KOSDAQ,Buy,128500.0,"128,500",93100.0,"93,100",,
data\markdown\star\2024-09-11_STAR_지노믹트리.md,star,2024-07-20,2024-09-11,KR,지노믹트리,228760,KOSDAQ,Buy,29200.0,"29,200",22100.0,"22,100",,
data\markdown\star\2024-09-11_STAR_지역난방공사.md,star,2024-08-16,2024-09-11,KR,지역난방공사,071320,KOSPI,Buy,67600.0,"67,600",41500.0,"41,500",,
data\markdown\star\2024-09-11_STAR_티씨케이.md,star,2024-08-16,2024-09-11,KR,티씨케이,064760,KOSDAQ,Buy,168100.0,"168,100",110000.0,"110,000",,
data\markdown\star\2024-09-11_STAR_펄어비스.md,star,2024-08-03,2024-09-11,KR,펄어비스,263750,KOSDAQ,Buy,55800.0,"55,800",42400.0,"42,400",,
data\markdown\star\2024-09-11_STAR_피에스케이홀딩스.md,star,2024-09-11,2024-09-11,KR,피에스케이홀딩스,031980,KOSDAQ,Buy,89300.0,"89,300원",,,,
data\markdown\star\2024-09-11_STAR_피엔에이치테크.md,star,2024-08-03,2024-09-11,KR,피엔에이치테크,239890,KOSDAQ,Buy,19590.0,"19,590",13900.0,"13,900",,
