source_file,school,report_type,ocr_recovered,report_date,authored_date,filename_date,market,company,ticker,exchange,rating,target_price,target_price_raw,report_current_price,report_current_price_raw,stated_upside_pct,parse_issue,qa_flags,data_issue
"data/markdown/smic/2013-09-19_Industry Report, 미디어 산업.md",smic,sector,False,2013-09-19,2012-11-23,2013-09-19,,,,,Buy,6360.0,"6,360원",4620.0,"4,620원",37.66,non_us_kr_or_unparsed_market;missing_ticker,,
"data/markdown/smic/2013-09-19_Industry Report, 어태치먼트, 건설기계.md",smic,sector,False,2013-09-19,2012-10-19,2013-09-19,,,,,Buy,2360.0,"2,360",1780.0,"1,780",32.6,non_us_kr_or_unparsed_market;missing_ticker,,
"data/markdown/smic/2013-09-19_Industry Report, 유통산업, 홈쇼핑.md",smic,sector,False,2013-09-19,2012-10-19,2013-09-19,,,,,Buy,329200.0,"329,200원",242000.0,"242,000원",36.0,non_us_kr_or_unparsed_market;missing_ticker,,
"data/markdown/smic/2013-09-19_Industry Report, 카메라모듈.md",smic,sector,False,2013-09-19,2012-10-20,2013-09-19,,,,,Buy,12551.0,"12,551원",9870.0,"9,870원",27.0,non_us_kr_or_unparsed_market;missing_ticker,,
"data/markdown/smic/2013-10-13_Industry Report, 렌터카, AJ렌터카.md",smic,sector,False,2013-10-13,2013-05-24,2013-10-13,,,,,Hold,13212.0,"13,212원",12850.0,"12,850원",20.0,non_us_kr_or_unparsed_market;missing_ticker,,
"data/markdown/smic/2013-10-16_Equity Research, 세종공업.md",smic,sector,False,2013-10-16,2013-10-11,2013-10-16,,,,,Buy,22100.0,"22,100",16350.0,"16,350",35.0,non_us_kr_or_unparsed_market;missing_ticker,,
"data/markdown/smic/2013-10-17_Equity Research, 유니드.md",smic,sector,False,2013-10-17,2013-10-12,2013-10-17,,,,,Buy,80600.0,"80,600",63800.0,"63,800",26.0,non_us_kr_or_unparsed_market;missing_ticker,,
"data/markdown/smic/2013-10-17_Equity Research, 피제이전자.md",smic,sector,False,2013-10-17,,2013-10-17,,,,,Buy,17750.0,"17,750",14350.0,"14,350",24.0,non_us_kr_or_unparsed_market;missing_ticker,,
"data/markdown/smic/2013-11-01_Equity Research, 삼성SDI.md",smic,sector,False,2013-11-01,2013-10-26,2013-11-01,,,,,Sell,157000.0,"157,000 원",182000.0,"182,000 원",,non_us_kr_or_unparsed_market;missing_ticker,,
"data/markdown/smic/2013-11-01_Equity Research, 세코닉스.md",smic,sector,False,2013-11-01,2013-10-26,2013-11-01,,,,,Buy,33100.0,"33,100 원",26350.0,"26,350 원",26.0,non_us_kr_or_unparsed_market;missing_ticker,,
"data/markdown/smic/2013-11-02_Equity Research, 엑세스바이오.md",smic,sector,False,2013-11-02,2013-10-26,2013-11-02,,,,,Buy,10400.0,10400,8250.0,"8,250",26.0,non_us_kr_or_unparsed_market;missing_ticker,,
"data/markdown/smic/2013-11-15_Equity Research, GD.md",smic,sector,False,2013-11-15,2013-11-09,2013-11-15,,,,,Buy,25950.0,"25,950",21550.0,"21,550",20.4,non_us_kr_or_unparsed_market;missing_ticker,,
"data/markdown/smic/2013-11-15_Equity Research, ITX시큐리티.md",smic,sector,False,2013-11-15,2013-11-09,2013-11-15,,,,,Buy,9000.0,"9,000",6860.0,"6,860",31.0,non_us_kr_or_unparsed_market;missing_ticker,,
"data/markdown/smic/2013-11-15_Equity Research, 한스바이오메드.md",smic,sector,False,2013-11-15,2013-11-09,2013-11-15,,,,,Buy,19800.0,"19,800",13900.0,"13,900",43.0,non_us_kr_or_unparsed_market;missing_ticker,,
"data/markdown/smic/2014-03-04_Equity Research, CJ E&M.md",smic,company,False,2014-03-04,2013-11-23,2014-03-04,US,방송채널사용사업자,PP,US,Buy,,,,,40.0,missing_target_price,,
"data/markdown/smic/2014-03-04_Equity Research, 아모레퍼시픽.md",smic,sector,False,2014-03-04,2013-11-23,2014-03-04,,,,,Hold,982000.0,"982,000",932000.0,"932,000",5.0,non_us_kr_or_unparsed_market;missing_ticker,,
"data/markdown/smic/2014-05-12_Equity Research, KG모빌리언스.md",smic,sector,False,2014-05-12,2014-04-12,2014-05-12,,,,,Buy,20350.0,"20,350",16950.0,"16,950",20.0,non_us_kr_or_unparsed_market;missing_ticker,,
"data/markdown/smic/2014-06-24_Equity Research, KG ETS.md",smic,sector,False,2014-06-24,2014-05-31,2014-06-24,,,,,Buy,5850.0,5850 원,4825.0,4825 원,21.0,non_us_kr_or_unparsed_market;missing_ticker,,
"data/markdown/smic/2015-05-22_Equity Research, 해천미업 (중국).md",smic,sector,False,2015-05-22,2015-05-16,2015-05-22,,,,,Buy,47.0,47,34.0,34,38.0,non_us_kr_or_unparsed_market;missing_ticker,,
"data/markdown/smic/2015-12-16_Equity Research, 글로벌텍스프리.md",smic,sector,False,2015-12-16,2015-12-05,2015-12-16,,,,,Buy,77240.0,"77,240원",,,,non_us_kr_or_unparsed_market;missing_ticker,,
"data/markdown/smic/2016-04-18_Equity Research, 휠라코리아.md",smic,company,False,2016-04-18,2016-04-09,2016-04-18,KR,미스토홀딩스,081660,KRX,Buy,,,,,,missing_target_price,,
"data/markdown/smic/2016-05-09_Equity Research, 티씨케이.md",smic,company,False,2016-04-30,2016-44-30,2016-05-09,KR,티씨케이,064760,KRX,Buy,,,,,,missing_target_price,,
"data/markdown/smic/2016-05-27_Equity Research, 서울옥션.md",smic,sector,False,2016-05-27,2016-05-14,2016-05-27,,,,,Buy,31850.0,"31,850 원",19150.0,"19,150 원",66.3,non_us_kr_or_unparsed_market;missing_ticker,,
"data/markdown/smic/2016-06-03_Equity Research, 휴온스.md",smic,sector,False,2016-06-03,2016-05-26,2016-06-03,,,,,Buy,99581.0,"99,581 원",80900.0,"80,900 원",23.09,non_us_kr_or_unparsed_market;missing_ticker,,
"data/markdown/smic/2016-12-05_Property Research, P2P 금융상품.md",smic,sector,False,2016-12-05,2016-11-19,2016-12-05,,,,,,,,,,,non_us_kr_or_unparsed_market;missing_ticker,,
"data/markdown/smic/2017-12-05_Equity Research, 티슈진.md",smic,sector,False,2017-12-05,2017-11-11,2017-12-05,,,,,Buy,,,48200.0,"48,200 원",,non_us_kr_or_unparsed_market;missing_ticker;missing_target_price,,
"data/markdown/smic/2017-12-26_Equity Research, GS홈쇼핑.md",smic,sector,False,2017-12-26,2017-12-02,2017-12-26,,,,,Buy,273000.0,"273,000 원",213100.0,"213,100 원",28.0,non_us_kr_or_unparsed_market;missing_ticker,,
"data/markdown/smic/2018-05-18_Equity Research, 대주전자재료.md",smic,company,False,2018-05-18,2018-05-05,2018-05-18,KR,대주전자재료,078600,KRX,Buy,,,18850.0,"18,850 원",,missing_target_price,,
"data/markdown/smic/2018-06-12_Equity Research, CJ프레시웨이.md",smic,company,False,2018-06-12,2018-06-02,2018-06-12,KR,CJ프레시웨이,051500,KRX,Buy,,,34600.0,"34,600 원",,missing_target_price,,
